麻雀ファイトガールグッズキャンペーン,場所
A.Cグランド,岐阜市茜部大川1-77
ASO:VIBA!,渋谷区恵比寿1-10-5
BINGO一関店,一関市山目字中野92-1
BOX.Q3,名古屋市中村区則武1-16-8第一Uコーポ1F
FASボウリングセンター,唐津市栄町2581-1
G3ポロスイオンタウン北上店,北上市里分4地割20-1
GAME BANK,仙台市泉区大沢2-5-4
GiGO秋葉原3号館,千代田区外神田1-11-11外神田1丁目ビルディング
GiGO新宿西口,新宿区西新宿1-12-5
GiGO難波アビオン,大阪市浪速区難波中2-3-15MMOビル1F､2F
HapipiLand十日町店,十日町市丑735-1
Hey(タイトー),千代田区外神田1-10-5広瀬本社ビル2F
KS美濃加茂店,美濃加茂市深田町3-11-24
MAXIM HERO,札幌市北区北6条西6-1-1
THE 3RDプラネットBivi仙台店,仙台市宮城野区榴岡2-1-25
THE 3RDプラネットOZ浜松店,浜松市東区宮竹町322-1
THE 3RDプラネット下通り店,熊本市中央区手取本町4-12
THE 3RDプラネット山口店,山口市湯田温泉6-8-3
THE 3RDプラネット多摩センター店,多摩市落合1-41-1マグレブWEST 1-2F
WORLD GAME CIRCUS,立川市羽衣町2-4-13羽衣長田ビル101
あそVIVA阪急茨木店,茨木市永代町6-2スポーツプラザ茨木2F
アップル新北街道店,静岡市葵区沓谷5-13-4
アドアーズ上野アメ横店,台東区上野4-9-14
アドアーズ仙川店,調布市仙川町2-21-12VICビル7 1-3F
アドアーズ中野店,中野区中野5-52-15ブロードウェイ185
アピナ四日市店,四日市市泊小柳町4-34
アミパラテクノランド,岡山市北区大和町1-7-12
アミパラ広島店,広島市西区西観音町3-17
アミューズパーク郡山店,郡山市安積町日出山2-80
アミューズビバ,ひたちなか市東大島2-11-111Fゲームコーナー
アミューズメントエース津田沼,船橋市前原西2-15-1ファミービル1-3F
ゲームパラダイス ゼロワン,横須賀市若松町1-6ヨコビル3F
アミューズメントスペースコミ丸四日市店,四日市市鵜の森1-3-19
アミューズメントスペース遊ランド士別店,士別市大通り東8
アミューズメントスペース遊ランド稚内店,稚内市港5-8-15
アミューズメントパフェパレパレ,徳島市南田宮2-2-46
アミューズメントフィールドバイヨン,ふじみ野市うれし野2-16-1LCモールうれし野2F
インターパークプラスワン,宇都宮市インターパーク6-5-1
キッズサーカスシピィ店,越前市新町7-8
キングジョイ,名古屋市中区栄3-3-32
クァトロブーム小杉,射水市三ケ2602
ゲ-ムリボン,北区東十条4-4-23
ゲームSPOT207,高岡市鐘紡町1655-3
ゲームコーナー東部,仙台市若林区六丁の目中町26-60
ゲームスポット306,高岡市昭和町2-267-5
ゲームチャリオット五井店,市原市五井中央西2-1-2
ゲームチャリオット辰巳店,市原市市原500-1
ゲームニュートン,板橋区志村3-24-3高橋ビル1F
ゲームパドック プラスワン,古河市小堤1916-1
ゲームパニックつくば,土浦市中村東1-1-1
ゲームパニック甲府,甲府市国母5-20-24
