shop,address,count,shopid,shop+address
ソユーファミリーゲームフィールド花巻店,岩手県花巻市高木第１６地割６８－６ 銀河モール花巻,2,shop_id=2375,ソユーファミリーゲームフィールド花巻店 岩手県花巻市高木第１６地割６８－６ 銀河モール花巻
スーパーノバ仙台一番町,宮城県 仙台市青葉区 一番町 4-5-13 サンシャインビル1F ,2,shop_id=11938,スーパーノバ仙台一番町 宮城県 仙台市青葉区 一番町 4-5-13 サンシャインビル1F 
GAMEBANK仙台泉,宮城県仙台市泉区大沢２－５－４ ＧＡＭＥＢＡＮＫ仙台泉,2,shop_id=6489,GAMEBANK仙台泉 宮城県仙台市泉区大沢２－５－４ ＧＡＭＥＢＡＮＫ仙台泉
GiGO 仙台,宮城県仙台市青葉区中央2-5-5 三経60ビル,2,shop_id=11810,GiGO 仙台 宮城県仙台市青葉区中央2-5-5 三経60ビル
ゲームコーナー東部,宮城県仙台市若林区六丁の目中町２６－６０ 斎喜東部ビル２階,4,shop_id=5559,ゲームコーナー東部 宮城県仙台市若林区六丁の目中町２６－６０ 斎喜東部ビル２階
ザ・サードプラネットBiVi仙台店,宮城県仙台市宮城野区榴岡２－１－２５ ＢｉＶｉ仙台,4,shop_id=6482,ザ・サードプラネットBiVi仙台店 宮城県仙台市宮城野区榴岡２－１－２５ ＢｉＶｉ仙台
スーパーノバ イオン仙台中山,宮城県仙台市泉区南中山1丁目35-57 別館3階 ,4,shop_id=10516,スーパーノバ イオン仙台中山 宮城県仙台市泉区南中山1丁目35-57 別館3階 
タイトーステーション仙台クリスロード店,宮城県仙台市青葉区中央２－３－２５ ,2,shop_id=6614,タイトーステーション仙台クリスロード店 宮城県仙台市青葉区中央２－３－２５ 
タイトーステーション仙台ベガロポリス店,宮城県仙台市太白区西多賀５－２４－１ ベガロポリス,2,shop_id=3092,タイトーステーション仙台ベガロポリス店 宮城県仙台市太白区西多賀５－２４－１ ベガロポリス
タイトーステーション仙台名掛丁店,宮城県仙台市青葉区中央１－７－１３ ハピナ名掛丁商街,2,shop_id=8995,タイトーステーション仙台名掛丁店 宮城県仙台市青葉区中央１－７－１３ ハピナ名掛丁商街
ビーカム松森店,宮城県仙台市泉区松森斎兵衛58-1 ,4,shop_id=11222,ビーカム松森店 宮城県仙台市泉区松森斎兵衛58-1 
ラウンドワン仙台苦竹,宮城県仙台市宮城野区苦竹1丁目7番10号 ,2,shop_id=10745,ラウンドワン仙台苦竹 宮城県仙台市宮城野区苦竹1丁目7番10号 
GiGO名取,宮城県名取市飯野坂土城堀57-1 GiGO名取,4,shop_id=1325,GiGO名取 宮城県名取市飯野坂土城堀57-1 GiGO名取
