mise,basyo
ＢＩＧＢＡＮＧ北見店,北海道北見市中央三輪7丁目４４６−１
ディノスパーク帯広稲田,北海道帯広市稲田町南八線西12番地1 ｽｽﾞﾗﾝﾎﾞｳﾙ 1、2階
タイトーステーション 千歳店,北海道千歳市北栄２−１２−５
ディノスパーク札幌手稲,北海道札幌市手稲区前田1条11丁目 西友手稲店 3階
ディノスパーク帯広,北海道帯広市白樺16条西2丁目 ﾄﾞﾘｰﾑﾀｳﾝ白樺 1階
キャッツアイ新札幌店,北海道札幌市厚別区厚別東五条1-1-10
キャッツアイ清田店,北海道札幌市清田区清田１条１−２０−１
キャッツアイ東苗穂店,北海道札幌市東区東苗穂6条2丁目1-25
namco札幌エスタ店,北海道札幌市中央区北5条西2-1-1札幌エスタ9F
キャッツアイ篠路店,北海道札幌市北区篠路1条4丁目6-30
SOYUGameField旭川西店,北海道旭川市緑町23-2161-3イオンモール旭川西3F
ＢＩＧＢＡＮＧ函館,北海道函館市梁川町９−３テキサスビル３Ｆ
ラウンドワン函館店,北海道函館市西桔梗町８４８−１１
ラウンドワン旭川店,北海道旭川市永山三条１−４−７
ＢＩＧＢＡＮＧ室蘭,北海道室蘭市中島本町２−８−１
ラウンドワン札幌北２１条店,北海道札幌市東区北二十一条東１−１−２１
ＢＩＧＢＡＮＧ滝川,北海道滝川市東町１−８−１４
ラウンドワン札幌白石本通店,北海道札幌市白石区本通１６丁目北１−５０
ＢＩＧＢＡＮＧ釧路,北海道釧路郡釧路町木場２−１
ソユーゲームフィールド発寒,北海道札幌市西区発寒8条12丁目1-1イオン札幌発寒SC3F
ソユーゲームフィールド苗穂店,北海道札幌市東区東苗穂2条3-1-1　イオンモール札幌苗穂２Ｆ
イオン根室アミューズメントランド,北海道根室市常磐町3-9
イオン岩見沢　キッズ・パーク,北海道岩見沢市大和4条8
ソユーゲームフィールド旭川駅前店,北海道旭川市宮下通７−２−５ｲｵﾝﾓｰﾙ旭川駅前４F
ラウンドワン札幌すすきの店,北海道札幌市中央区南五条西3-6-1
タイトーステーション 札幌狸小路２丁目店,北海道札幌市中央区南３条西２丁目−１４
ゲームランド新さっぽろ,北海道札幌市厚別区中央２条５丁目７−３ カテプリさっぽろ３階
セガ八戸,青森県八戸市城下4-25-14
セガ弘前,青森県弘前市末広1-3-3
ゲームフェスタミタマ店,青森県弘前市駅前町5-5
ソユースペースファンタジーインフィニ,青森県弘前市城東北３−１０−１さくら野百貨店弘前店４Ｆ
ユーズランド下田店,青森県上北郡おいらせ町中野平４０−１イオンモール下田１Ｆ
ラウンドワン青森店,青森県青森市浜田３−１−１
ソユーゲームフィールド青森店,青森県青森市浜田1-14-1イトーヨーカドー青森店2F
ソユーゲームフィールド八戸店,青森県八戸市沼館4-7-112八戸ピアドゥＢ棟2F
セガ水沢,岩手県奥州市水沢区佐倉河字鎧田4-1
アミューズメントゾーン北上店,岩手県北上市本通2-2-1さくら野北上店4F
Ｇ３ポロスイオンタウン北上店,岩手県北上市里分四地割２０番地１
ラウンドワン盛岡店,岩手県盛岡市盛岡駅西通２−１０−３５
ソユーファミリーゲームフィールド花巻店,岩手県花巻市高木第１６地割６８−６　銀河モール１Ｆ
ゲームランドプレーゴ金ケ崎,岩手県胆沢郡金ケ崎町三ヶ尻荒巻１６５イオンＳＣ金ヶ崎店内
サンシャイン,岩手県盛岡市大通２－７－２１ジュリアンビル１階
テクノワールド,岩手県奥州市江刺区愛宕字梁川127-1
ソユーゲームフィールド盛岡南,岩手県盛岡市本宮7-1-1ｲｵﾝﾓｰﾙ盛岡南1F
ソユーゲームフィールド釜石店,岩手県釜石市港町２−１−１イオンタウン釜石店３F
セガワールド佐沼,宮城県登米市迫町佐沼字中江2-5-8
セガ名取セッツウイングス,宮城県名取市飯野坂字土城堀57-1
タイトーステーション 仙台名掛丁店,宮城県仙台市青葉区中央１−７−１３
ゲームコーナー東部,宮城県仙台市若林区六丁の目中町26-60 斎喜東部ビル2F
タイトーステーション 仙台クリスロード店,宮城県仙台市青葉区中央２−３−２５
セガワールド石巻,宮城県石巻市大街道東4-1-45
THE 3RD PLANET BiVi仙台店,宮城県仙台市宮城野区榴岡2-1-25
プレイランドエフワンＲ,宮城県仙台市青葉区中央２−６−６タベイビルＢ１Ｆ
namcoイオンモール名取店,宮城県名取市杜せきのした5-3-1イオンモール名取2F
プラサカプコン石巻店,宮城県石巻市茜平4丁目104番地 ｲｵﾝ石巻ｼｮｯﾋﾟﾝｸﾞｾﾝﾀｰ2F
ラウンドワン仙台苦竹店,宮城県仙台市宮城野区苦竹１−７−１０
セガ仙台コロナワールド,宮城県仙台市宮城野区福室字田中前1番53-1
ゲームフィールド仙台長町店,宮城県仙台市太白区長町７丁目２０番３号ザ・モール仙台長町店３階
スーパーノバイオン仙台中山,宮城県仙台市泉区南中山１−３５−５７別館３Ｆ
セガ仙台,宮城県仙台市青葉区中央２−５−５
ＳＯＹＵ　ＧＡＭＥ　ＦＩＥＬＤ古川店,宮城県大崎市古川沢田字筒場浦１５番地イオンタウン古川内
セガ秋田,秋田県秋田市茨島1-1-16
SOYUGameField御所野店,秋田県秋田市御所野地蔵田1-1-1イオンモール秋田2F
ラウンドワン秋田店,秋田県秋田市卸町１−１−２
プレイランドソピアいとくアクロス能代店,秋田県能代市字寺向70いとくアクロス能代店内
ゲームフィールド十文字店,秋田県横手市十文字町仁井田字東22-1スーパーモールラッキー内
リスチャイルド本荘店,秋田県由利本荘市石脇字田中138SC本荘店内
ゲームフィールド鷹巣店,秋田県北秋田市栄字前綱76　いとく鷹巣SC内
セガワールド北山形,山形県山形市北町1-3-20
セガ米沢,山形県米沢市大字花沢字タナコ原177
スーパーノバ天童店,山形県天童市南町1-5-26
ソユーゲームフィールド三川店,山形県東田川郡三川町大字猪子字和田庫１２８−１イオン三川１Ｆ
セガ庄内,山形県東田川郡三川町猪字大堰端３２６番地６
アピナ鶴岡店,山形県鶴岡市文下字広野１−１
ソユーゲームフィールド天童店,山形県天童市芳賀タウン北４−１−１ イオンモール天童２Ｆ
スタジオプリモ山形店,山形県山形市城南町１−１−１　霞城セントラル２Ｆ
セガ小名浜,福島県いわき市小名浜林城字塚前18-1
セガ日和田,福島県郡山市日和田町字西中島7-1
セガワールド白河,福島県白河市新高山1-1 メガステージ白河内
セガワールド福島,福島県福島市本内中井1-2
セガワールド勿来,福島県いわき市勿来町四沢字鍵田13
ｎａｍｃｏイオンタウン郡山店,福島県郡山市松木町２−８８イオンタウン郡山内
ＳＯＹＵ　Ｅ−ＳＴＵＤＩＯ須賀川店,福島県須賀川市古河１０５イオンタウン須賀川Ｂ棟内
ラウンドワン福島店,福島県福島市太田町14-18
スーパーノバ会津インター,福島県会津若松市町北町上荒久田字宮下１４２
ラウンドワン郡山店,福島県郡山市向河原町４−５５
タイトーＦ郡山オリエントパーク店,福島県郡山市安積町荒井字大久保３５−１
ソユーゲームフィールド小名浜店,福島県いわき市小名浜字辰巳町７９イオンモールいわき小名浜３Ｆ
セガワールド日立,茨城県日立市田尻町3-26-1
セガ霞ヶ浦,茨城県稲敷市西代1473-1
ＧＡＭＥ ＰＡＤＤＯＣＫ＋１,茨城県古河市小堤１９１６−１
ピンクパンサー下妻店,茨城県下妻市小島884-10
ゲームパニックつくば,茨城県土浦市中村東1-1-1サンタスワールド内
アピナ下館店,茨城県筑西市玉戸１０１２−３
ピンクパンサー水戸赤塚店,茨城県水戸市河和田1-1
ＡＭジャムジャムつくば店,茨城県つくば市竹園１—９−２デイズタウンつくば地下１Ｆ
ユーズランド水戸内原店,茨城県水戸市内原２−１イオンモール水戸内原２Ｆ
セガ水戸,茨城県水戸市宮町1-7-44コムボックス310
ピンクパンサーつくばみらい店,茨城県つくばみらい市陽光台1-14-1
アミューズビバ,茨城県ひたちなか市東大島２−１１−１１
ピンクパンサー日立店,茨城県日立市東多賀町5-10-10
セガ石岡,茨城県石岡市東大橋中峯1976-1
ＦＥＳＴＡ古河店,茨城県古河市松並２−１８−１０マーケットシティ古河
セガ龍ケ崎,茨城県龍ケ崎市藤ケ丘4-2-8
楽市楽座イオンモール土浦店,茨城県土浦市上高津３６７イオンモール土浦ＳＣ３階
ＳＯＹＵ　ＴＯＹ’Ｓ　ＮＹ　守谷店,茨城県守谷市百合ヶ丘3-249-1　イオンタウン守谷2Ｆ
ピンクパンサー那珂店,茨城県那珂市菅谷1593-8
フリスポ,茨城県筑西市神分472
セガ水戸南,茨城県水戸市千波町２０１７−１
ピンクパンサー土浦店,茨城県土浦市木田余４５８５−３
セガワールド宇都宮,栃木県宇都宮市東宿郷5-1-7
セガ小山,栃木県小山市東城南1-1-18
