name,address,loc_id,latitude&longitude,pcb_count
"東急百貨店さっぽろアミューズパーク","北海道 札幌市中央区 北四条西 2-1　東急百貨店さっぽろ店9F","LhpJz81E2AwOJEYNWzD0yg","43.067552 141.352709",6
"ラウンドワン札幌すすきの","北海道 札幌市中央区 南五条西 3-6-1","DEcah2oynr8vD325wTaU9A","43.054536 141.354524",4
"タイトーステーション札幌狸小路2丁目","北海道 札幌市中央区 南三条 西2-14　ニコービル","tgNdKGtqlA5hY25gmz9oNQ","43.057336 141.355453",2
"GiGO 札幌駅西口","北海道 札幌市北区 北六条西 6　JR高架下","H57iUkDJXydOoqQFnN4QYQ","43.067531 141.34628",2
"ゲームランド新さっぽろ","北海道 札幌市厚別区 厚別中央二条 5-7　新さっぽろアークシティ　カテプリ新さっぽろ3F","vjFsQO-W_EKqzoDeiiCykg","43.037441 141.472478",2
"キャッツアイ新札幌","北海道 札幌市厚別区 厚別東五条 1　ホーマックスーパーデポ厚別東店横","JUZEMwMT_gsRUleEjU5IVQ","43.045268 141.475797",2
"ラウンドワンスタジアム札幌北21条","北海道 札幌市東区 北二十一条東 1-1-21","FRVHpQMTAClhOqqm7Xsoyg","43.086887 141.34985",2
"アドアーズ札幌北42条","北海道 札幌市東区 北四十二条東 7-1-1　ドン・キホーテ北42条店2F","WPMRbdk-NXkwkyFw5mLNsw","43.112034 141.355326",2
"ソユーゲームフィールド札幌苗穂","北海道 札幌市東区 東苗穂二条 3-1-1　イオンモール札幌苗穂2F","1iCoQV6-n2TD_HyVDOmkkA","43.079836 141.403812",2
"キャッツアイ清田","北海道 札幌市清田区 清田一条 1-20-1","hzWMFmJ3s3CoA1QAK-ThLA","43.002843 141.436304",2
"ソユーゲームフィールド札幌発寒","北海道 札幌市西区 発寒八条 12-1-1　イオンモール札幌発寒3F","JT1UcxNgiLhYs1rNSY5KJA","43.096422 141.276495",2
"ラウンドワンスタジアム函館","北海道 函館市 西桔梗町 848-11","TZAv1Nmcw3ocBewGVGXf0Q","41.82459 140.71745",2
"ソユーゲームフィールド旭川駅前","北海道 旭川市 宮下通 7-2-5　イオンモール旭川駅前4F","tCZEbuhu-jhGRhKMXYGniA","43.764006 142.357115",2
"アミューズメントスペース遊ランド春光","北海道 旭川市 春光一条 7-2-25　第2ダイワビル2F","Xaqa-MmVS9DlDnuG3vkdbw","43.798197 142.374036",2
"ラウンドワンスタジアム旭川","北海道 旭川市 永山三条 1-4-7","_xdOEjTFE2umwHG2jRUxhw","43.786538 142.397245",2
"ソユーゲームフィールド旭川西","北海道 旭川市 緑町 23-2161-3　イオンモール旭川西3F","0hkAd4HizdjwIY6zdrUbxA","43.794087 142.32593",2
"アミューズメントスペース遊ランド西御料","北海道 旭川市 西御料五条 2-1","ZAWsW9j8yFJi-GcK1w2TqA","43.723872 142.368868",2
"GiGO ドリームタウン白樺","北海道 帯広市 白樺十六条西 2　ドリームタウン白樺内","9ywxD-5JxPNbA3XlsZFoLA","42.919499 143.174171",2
"モーリーファンタジー苫小牧","北海道 苫小牧市 柳町 3-1-20　イオンモール苫小牧　イオン苫小牧店2F","hNCVw2GOJbZ2bni2ioqSZg","42.656319 141.642037",2
"アミューズメントスペース遊ランド稚内","北海道 稚内市 港 5-8-15","kI8lAziyvWuHSU42ftYEzg","45.400738 141.68089",2
"キャッツアイ恵庭","北海道 恵庭市 住吉町 2-9-1","FA3p5k7wZGjc5QDJ64GzGA","42.875885 141.583461",2
"モーリーファンタジー上磯","北海道 北斗市 七重浜 4-44-1　イオン上磯店1F","r_mXJiFfetObfc3OUUnt-w","41.82126 140.712447",2
"PALO釧路","北海道 釧路郡釧路町 桂木 1-1-7　イオン釧路店2F","65Q_NIz9GQiKQu9PQV7P_A","43.0091 144.404752",2
"ユーズランド下田","青森県 上北郡おいらせ町 中野平 40-1　イオンモール下田1F","mSS8_YA6PY90rt4wxxebBg","40.601457 141.417784",4
"ラウンドワン青森","青森県 青森市 浜田 3-1-1","L89y1qRIN153St-aNZj91w","40.799322 140.748564",2
"タイトーステーション青森アムゼ","青森県 青森市 緑 3-9-2　サンロード青森アムゼ内","7MKOMN45IrUMRgcHfxT3_Q","40.807812 140.753293",2
"ソユースペースファンタジーインフィニ","青森県 弘前市 城東北 3-10-1　さくら野百貨店弘前店4F","3nUxecHCAT-i7SPYI6gJ9g","40.607213 140.49568",2
"タイトーFステーション八戸","青森県 八戸市 三日町 27","a5NyLtmiGQRrZS4uLih95w","40.509307 141.490581",2
"GiGO 八戸","青森県 八戸市 城下 4-25-14","LsjVp1XmDlMMuCVWwwiJqg","40.519908 141.4983",2
"ゲームランドつがる柏","青森県 つがる市 柏稲盛幾世 41　イオンモールつがる柏本館2F","Y5vRfIhq_cnJiO5cMj95pg","40.802632 140.416655",2
"ソユーゲームフィールド盛岡南","岩手県 盛岡市 本宮 7-1-1　イオンモール盛岡南2F","-F8jxSRXQL9aFB-mRSXwLA","39.683567 141.128669",2
"タイトーFステーション盛岡南","岩手県 盛岡市 津志田町 2-1-77","qJChK7LLBnEYwhJNoOKizg","39.666612 141.157142",2
