name,address,loc_id,latitude&longitude
"キャッツアイ清田","北海道 札幌市清田区 清田一条 1-20-1","hzWMFmJ3s3CoA1QAK-ThLA","43.002843 141.436304"
"VEGAGIO美しが丘","北海道 札幌市清田区 美しが丘一条 7-6-10　ベガロポリス美しが丘店内","x4zd4iNFiYtGufkwK_Y8qg","42.980932 141.463502"
"ラウンドワンスタジアム札幌・白石本通","北海道 札幌市白石区 本通 16-北1-50","aMdTukaIq7whaUbaJhnUPw","43.036928 141.432887"
"ソユーゲームフィールド札幌発寒","北海道 札幌市西区 発寒八条 12-1-1　イオンモール札幌発寒3F","JT1UcxNgiLhYs1rNSY5KJA","43.096422 141.276495"
"モーリーファンタジー札幌発寒","北海道 札幌市西区 発寒八条 12-1-1　イオンモール札幌発寒　イオン札幌発寒店3F","hQSODrCd6f1SH496i2mpHw","43.096164 141.276956"
"GiGO 函館昭和","北海道 函館市 昭和 3-24-18　ゲオ函館昭和店内","eJHc_rJWlr9M1BUhwTbYNQ","41.819233 140.734544"
"GiGO MEGAドン・キホーテ函館","北海道 函館市 美原 1-7-1　MEGAドン・キホーテ函館店2F","473dC8ymKQ8y6X3Z-PitvA","41.813509 140.756295"
"ラウンドワンスタジアム函館","北海道 函館市 西桔梗町 848-11","TZAv1Nmcw3ocBewGVGXf0Q","41.82459 140.71745"
"ラウンドワンスタジアム旭川","北海道 旭川市 永山三条 1-4-7","_xdOEjTFE2umwHG2jRUxhw","43.786538 142.397245"
"ソユーゲームフィールド旭川西","北海道 旭川市 緑町 23-2161-3　イオンモール旭川西3F","0hkAd4HizdjwIY6zdrUbxA","43.794087 142.32593"
"モーリーファンタジー旭川西","北海道 旭川市 緑町 23-2161-3　イオンモール旭川西　イオン旭川西店2F","WcuTetJhytzA7pe0txnZSA","43.7937 142.327282"
"BIG BANG 室蘭","北海道 室蘭市 中島本町 2-8-1","BgY_GS2c9t7eqkjL14dthQ","42.353406 141.014425"
"タイトーステーションイオンモール釧路昭和","北海道 釧路市 昭和中央 4-18-1　イオンモール釧路昭和2F","1ZuXl9mnGyIyzaesFQfpCw","43.025899 144.359296"
"GiGO ドリームタウン白樺","北海道 帯広市 白樺十六条西 2　ドリームタウン白樺内","9ywxD-5JxPNbA3XlsZFoLA","42.919499 143.174171"
"わいわいランド帯広","北海道 帯広市 稲田町南8線西 10-1　イトーヨーカドー帯広店2F","vEFEYEANuNXhHb-_D7t1NQ","42.890028 143.198204"
"GiGO 帯広稲田","北海道 帯広市 稲田町南8線西 12-1　帯広スズランボウル内","g5K6N5O-KFCmrfgORVlYFg","42.890206 143.19646"
"アミューズメントシティ東武イーストモール","北海道 北見市 端野町三区 572-1　東武イーストモール内","7v0_mukH6iu5dvFyXCniyw","43.841426 143.928696"
"GiGO 北見","北海道 北見市 西三輪 5-1-16","PoWlJgBqNwCsLsuArkaLgQ","43.796546 143.842546"
"モーリーファンタジー苫小牧","北海道 苫小牧市 柳町 3-1-20　イオンモール苫小牧　イオン苫小牧店2F","hNCVw2GOJbZ2bni2ioqSZg","42.656319 141.642037"
"PALO江別","北海道 江別市 幸町 35　イオン江別店3F","zC3E_CJ4gvSiVGUoho_SGQ","43.096978 141.533645"
"モーリーファンタジー三笠","北海道 三笠市 岡山 1059-1　イオン三笠SC　イオンスーパーセンター三笠店1F","1T7wMBSu1qNqf6w7XWPrDQ","43.243582 141.805511"
"アピナ新千歳空港","北海道 千歳市 美々 1　新千歳空港（国内線）旅客ターミナルビル4F","nGun1ihx4D2Lg3fD6AU76A","42.787127 141.68056"
"PALO滝川","北海道 滝川市 東町 2-29-1　イオン滝川店1F","d2lug0A77FloiI4cig6k1g","43.554168 141.931215"
"モーリーファンタジー登別","北海道 登別市 若山町 4-33-1　イオン登別店2F","k_ixb5_0hJVRfQQPFRbRtQ","42.381331 141.068466"
"アドアーズインターヴィレッジ大曲","北海道 北広島市 大曲幸町 6-1　インターヴィレッジ大曲2F","Odx4U5nUlmJSXNS4YALpnw","42.96918 141.469658"
"モーリーファンタジー上磯","北海道 北斗市 七重浜 4-44-1　イオン上磯店1F","r_mXJiFfetObfc3OUUnt-w","41.82126 140.712447"
"BIG BANG 釧路","北海道 釧路郡釧路町 木場 2-1","zbKLO5Bsgnt-KiSlDXD3vw","43.009205 144.409919"
"BIG BANG 釧路","北海道 釧路郡釧路町 木場 2-1","zbKLO5Bsgnt-KiSlDXD3vw","43.009205 144.409919"
