ゲームゾーントレジャー北町店	山形ファミリーボウル
ふじみ野市うれし野2-16-1LCモールうれし野2F	〒356-0056 埼玉県ふじみ野市うれし野２丁目１６−１
和光市本町3-5Million Annex 和光1-3F	〒351-0114 埼玉県和光市本町３−５和光市本町3-5 Million Annex 和光1-3F
和光市本町3-5Million Annex 和光1-3F	〒351-0114 埼玉県和光市本町3-5 Million Annex 和光1-3F
草加市氷川町2125-1	〒340-0034 埼玉県草加市氷川町２１２５−１
蕨市塚越1-4-4花見屋第2ビル2F	〒335-0002 埼玉県蕨市塚越１丁目４−４ ラ・セーヌビル2F蕨市塚越1-4-4 花見屋第2ビル2F
蕨市塚越1-4-4花見屋第2ビル2F	〒335-0002 埼玉県蕨市塚越1-4-4 花見屋第2ビル2F
川口市栄町3-1-16イート川口ビル4F	〒332-0017 埼玉県川口市栄町３丁目１−１６　川口市栄町3-1-16 イート川口ビル4F
川口市栄町3-1-16イート川口ビル4F	〒332-0017 埼玉県川口市栄町3-1-16 イート川口ビル4F
鹿沼市睦町字川西城下287-1	〒322-0031 栃木県鹿沼市睦町２８７−１
宇都宮市江野町7-13ヒカリビル1F	〒320-0802 栃木県宇都宮市江野町７−１３ 1F 
鹿嶋市小山字峰595-1	〒311-2222 茨城県鹿嶋市小山５９５−１
猿島郡境町1327-1MGMパワーセンター内1F	〒306-0433 茨城県猿島郡境町１３２７−１猿島郡境町1327-1 MGMパワーセンター内1F
土浦市川口町2-11-5	〒300-0033 茨城県土浦市川口２丁目１１−５
柏市十余二249-5MEM内	〒277-0872 千葉県柏市十余二２４９−５ M.E.M 内
千葉市稲毛区長沼原町731-25フレスポ稲毛A2棟-4	〒263-0001 千葉県千葉市稲毛区長沼原町７３１−１７千葉市稲毛区長沼原町731-25 フレスポ稲毛A2棟-4
千葉市稲毛区長沼原町731-25フレスポ稲毛A2棟-4	〒263-0001 千葉県千葉市稲毛区長沼原町７３１−１７ フレスポ稲毛
相模原市緑区橋本3-3-1SING橋本2F	〒252-0143 神奈川県相模原市緑区橋本３丁目３−１ SING橋本2階
藤沢市藤沢460-1AB藤沢ビル3-4F	〒251-0052 神奈川県藤沢市藤沢460-1 AB藤沢ビル3-4F
大和市大和東1-4-3大黒屋ビル1-2F､事4F	〒242-0017 神奈川県大和市大和東1-4-3  大黒屋ビル1-2F､事4F
川崎市川崎区砂子2-5-5(株)岡田屋2BKビル1F	〒210-0006 神奈川県川崎市川崎区砂子２丁目５−５ ビル1～2F 2BK ㈱岡田屋
多摩市落合1-41-1マグレブWEST 1-2F	〒206-0033 東京都多摩市落合１丁目４１−１　多摩市落合1-41-1 マグレブWEST 1-2F
多摩市落合1-41-1マグレブWEST 1-2F	〒206-0033 東京都多摩市落合1-41-1 マグレブWEST 1-2F
西多摩郡日の出町大字平井字三吉野桜木237-3 3F	〒190-0182 東京都西多摩郡日の出町平井字三吉野桜木２３７−３
板橋区志村3-24-3高橋ビル1F	〒174-0056 東京都板橋区志村3-24-3 高橋ビル1F
豊島区東池袋1-42-3やすだ東池袋ビル2F	〒170-0013 東京都豊島区東池袋１丁目４２−３
豊島区東池袋1-42-1	〒170-0013 東京都豊島区東池袋１丁目４２−１９
豊島区東池袋1-43-14D-BOXビル3F	〒170-0013 東京都豊島区東池袋1-43-14 D-BOXビル3F
葛飾区新小岩1-44-4VORT新小岩B1-3F	〒124-0024 東京都葛飾区新小岩１丁目４４−４
台東区浅草1-27-5ROXドーム1F	〒111-0032 東京都台東区浅草1-27-5 ROXドーム1F
港区新橋2-16-1B1-65号	〒105-0004 東京都港区新橋２丁目１６−１ Ｂ１－６５
旭川市西御料5条2-64-19	〒078-8825 北海道旭川市西御料５条２丁目１−１
函館市梁川町9-3パボッツ函館3F	〒040-0015 北海道函館市梁川町９−３ テキサス函館3F
