ゲームフィールド仙台長町店,宮城県仙台市太白区長町7丁目20番3号ザ・モール仙台長町店3階
アピナ新利府 北館店,宮城県宮城郡利府町利府字新屋田前22イオンモール新利府北館2
SOYU GAME FIELD古川店,宮城県大崎市古川沢田字筒場浦15番地イオンタウン古川内
スーパーノバ仙台一番町,宮城県仙台市青葉区一番町4丁目5番13号サンシャインビル1階
アピナ富谷店,宮城県富谷市大清水1丁目33‐1 109シネマズ富谷1階
GiGO秋田,秋田県秋田市茨島1−1−16
SOYUGameField御所野店,秋田県秋田市御所野地蔵田1-1-1イオンモール秋田2F
SOYUGameField能代店,秋田県能代市鰄渕字古屋布1番イオンタウン能代内
プレイランドソピアいとくアクロス能代店,秋田県能代市字寺向70いとくアクロス能代店内
SOYUGameField大館店,秋田県大館市御成町三丁目7番58号いとく大館SC3階
namcoイオンタウン大館西店,秋田県大館市根下戸新町18-121イオンタウン大館西内
ゲームフィールド十文字店,秋田県横手市十文字町仁井田字東22-1スーパーモールラッキー内
ラウンドワン秋田店,秋田県秋田市卸町1−1−2
ペニーポット秋田,秋田県秋田市中通2-8-1フォンテ秋田4F
GiGO北山形,山形県山形市北町1−3−20
GiGO米沢,山形県米沢市大字花沢字タナコ原177
スーパーノバ天童,山形県天童市南町1-5-26
GiGO庄内,山形県東田川郡三川町猪字大堰端326番地6
アピナ鶴岡店,山形県鶴岡市文下字広野1−1
トレジャーサバイバル,山形県山形市北町2−2−45
スタジオプリモ山形店,山形県山形市城南町1−1−1 霞城セントラル2F
ソユーゲームフィールド天童店,山形県天童市芳賀タウン北4−1−1 イオンモール天童2F
ソユーゲームフィールド三川店,山形県東田川郡三川町大字猪子字和田庫128−1イオン三川1F
SOYUGameField酒田店,山形県酒田市泉町198番地イオンタウン酒田内
GiGO新庄,山形県新庄市金沢1068
GiGO小名浜,福島県いわき市小名浜林城字塚前18−1
GiGO日和田,福島県郡山市日和田町字西中島7−1
GiGO白河,福島県白河市新高山1−1 メガステージ白河内
GiGO福島,福島県福島市本内中井1−2
GiGO勿来,福島県いわき市勿来町四沢字鍵田13
THE 3RD PLANET ピボット福島店,福島県福島市栄町1-1 パワーシティーピボット内
スーパーノバ福島,福島県福島市黒岩字中島7-2
ラウンドワン福島店,福島県福島市太田町14-18
スーパーノバ会津インター,福島県会津若松市町北町上荒久田字宮下142
ラウンドワン郡山店,福島県郡山市向河原町4−55
嶺宝スポーツセンター,福島県いわき市小名浜住吉折返2−2
タイトーF郡山オリエントパーク店,福島県郡山市安積町荒井字大久保35−1
SOYU E−STUDIO須賀川店,福島県須賀川市古河105イオンタウン須賀川B棟内
ソユーゲームフィールド小名浜店,福島県いわき市小名浜字辰巳町79イオンモールいわき小名浜3F
GiGO日立,茨城県日立市田尻町3−26−1
GiGO霞ヶ浦,茨城県稲敷市西代1473−1
GAME PADDOCK+1,茨城県古河市小堤1916−1
ピンクパンサー下妻店,茨城県下妻市小島884-10
ゲームパニックつくば,茨城県土浦市中村東1-1-1サンタスワールド内
アピナ下館店,茨城県筑西市玉戸1012−3
AMジャムジャム神栖店,茨城県神栖市神栖1ー8−1
あそびのひろば 鹿嶋店,茨城県鹿嶋市宮中290−1ショッピングセンターチェリオ1階
ピンクパンサー水戸赤塚店,茨城県水戸市河和田1-1
AMジャムジャムつくば店,茨城県つくば市竹園1—9−2デイズタウンつくば地下1F
ユーズランド水戸内原店,茨城県水戸市内原2−1イオンモール水戸内原2F
GiGO水戸,茨城県水戸市宮町1−7−44コムボックス310
ゲームメガみらい平店,茨城県つくばみらい市陽光台1−14−1
アミューズビバ,茨城県ひたちなか市東大島2−11−11
ゲームメガ日立店,茨城県日立市東多賀町5−10−10
GiGO石岡,茨城県石岡市東大橋中峯1976−1
AMジャムジャムひたちなか本店,茨城県ひたちなか市田中後40−2
GiGO龍ケ崎,茨城県龍ケ崎市藤ケ丘4−2−8
ピンクパンサー水戸けやき台店,茨城県水戸市酒門町3276-1
namcoiiasつくば店,茨城県つくば市研究学園5-19 iiasつくば店2F2190
楽市楽座イオンモール土浦店,茨城県土浦市上高津367イオンモール土浦SC3階
SOYU TOY'S NY 守谷店,茨城県守谷市百合ヶ丘3-249-1 イオンタウン守谷2F
宝島 勝田店,茨城県ひたちなか市石川町1−1MEGAドン・キホーテ勝田店2F
スタジオプリモ水戸店,茨城県水戸市宮町1−2−4マイム1F
GiGO水戸南,茨城県水戸市千波町2017−1
ピンクパンサー土浦店,茨城県土浦市木田余4585−3
タイトーFステーションヨークタウン坂東店,茨城県坂東市辺田1104番地1
ゲームメガつくば店,茨城県つくば市小野崎177−2
GiGO宇都宮,栃木県宇都宮市東宿郷5−1−7
GiGO小山,栃木県小山市東城南1−1−18
GiGO西那須野,栃木県那須塩原市南郷屋2−106−27
GiGO日光,栃木県日光市芹沼1448−1
namco宇都宮店,栃木県宇都宮市簗瀬町1606−1 P&Dビル
シーサイドリゾートアミューズメントパーク,栃木県宇都宮市睦町7−3
INTER PARK+1宇都宮,栃木県宇都宮市インターパーク6−5−1
大田原スポーツランド,栃木県那須塩原市一区町104−60
タイトーステーション 宇都宮ベルモール店,栃木県宇都宮市陽東6−2−1ベルモール内2F
ラウンドワン宇都宮店,栃木県宇都宮市江曽島町2072−1
ドラマ足利店,栃木県足利市朝倉町244-1
namcoフェドラP&D佐野店,栃木県佐野市高萩町1340
アピナ小山店,栃木県小山市駅南町4−27−18
タイトーFステーション小山店,栃木県小山市喜沢1475ハーヴェストウォーク内スポーツシネマ棟
TFSトナリエ宇都宮,栃木県宇都宮市駅前通り1丁目4番6号トナリエ宇都宮
スタジオプリモ宇都宮店,栃木県宇都宮市曲師町2-8宇都宮フェスタ1F
GiGO太田,群馬県太田市西矢島町575−1
GiGO沼田,群馬県沼田市下久屋町1100−1
群馬レジャーランド伊勢崎店,群馬県伊勢崎市連取町3066-1
アピナ太田店,群馬県太田市内ケ島町907−1
インターワールド伊勢崎店,群馬県伊勢崎市宮子町3425-4
GiGO館林,群馬県館林市小桑原町949−1
ユーズランド太田店,群馬県太田市石原町81番地イオンモール太田2F
群馬レジャーランド高崎駅東口店,群馬県高崎市江木町333−1高崎EXビル
群馬レジャーランド太田店,群馬県太田市西矢島町162-2
群馬レジャーランド藤岡店,群馬県藤岡市中2002-1
宝島大間々店,群馬県みどり市大間々町大間々40番地さくらもーる2F
ユーズランド高崎店,群馬県高崎市棟高町1400番地イオンモール高崎2F
namcoけやきウォーク前橋,群馬県前橋市文京町2−1−1けやきウォーク前橋2F
群馬レジャーランド渋川店,群馬県渋川市八木原1364
ラウンドワン前橋店,群馬県前橋市天川大島町1101−1
宝島 桐生店,群馬県桐生市永楽町5−10MEGAドン・キホーテ桐生店3F
GiGOスマーク伊勢崎,群馬県伊勢崎市西小保方町368スマーク伊勢崎3F 302区画
タイト—Fステーション高崎オ—パ店,群馬県高崎市八島町46−1 高崎オ—パ7階
タイトーステーション 和光店,埼玉県和光市丸山台1−4−5
GiGO所沢,埼玉県所沢市日吉町8−1
GiGO入間,埼玉県入間市東藤沢2−18
GiGO川口,埼玉県川口市東領家2−2−10
GiGO籠原,埼玉県熊谷市美土里町1−1−169
楽市楽座イオンモール川口前川店,埼玉県川口市前川1-1-11イオンモール川口前川店3F
埼玉レジャーランド春日部店,埼玉県春日部市大字増富字谷際163-1
