name,address,loc_id,latitude&longitude
"GiGO 仙台","宮城県 仙台市青葉区 中央 2-5-5","08rsOjm3vjm8e677jwwdXg","38.261621 140.876736"
"M&#39;sPARK刈谷","愛知県 刈谷市 稲場町 3-206","sGJo2Mn_qYmmXOU6jzdQUw","35.00546406 137.0014375"
"namco中野","東京都 中野区 中野 5-52-15　中野ブロードウェイ別館","BlQ9dEVrA_Oj20-Ywyri5Q","35.70910422 139.6661183"
"カプコサーカス新潟東","新潟県 新潟市東区 大形本町 3-1-2　イオン新潟東店内ゲームコーナー","_INsvFeP7CpdKNhIuNirQg","37.92514116 139.1147232"
"ゲームセンターテクノポリス","新潟県 長岡市 要町 1-8-50","3omUa42sC_-wtRlc8l5ASw","37.424981 138.83773"
"ゲームフィールド仙台長町","宮城県 仙台市太白区 長町 7-20-3　ザ・モール仙台長町3F","EkjeQb4Z4mcmE0b7pHT2pw","38.22599 140.876736"
"ゲームランド佐沼","宮城県 登米市 南方町新島前 46-1　イオンタウン佐沼1F","Emmn3DtAPqwczdqRp-gnhw","38.682592 141.183925"
"タイトーFステーション市川妙典","千葉県 市川市 妙典 4-1-1　イオン市川妙典2番街2F","xDQGuPMEIwg-rxyCwE0ZrA","35.692538 139.926679"
"プラサカプコン大曲","秋田県 大仙市 和合字坪立 177　イオンモール大曲2F","yPk_gRySBqHY42yREc9D7w","39.438944 140.508099"
"プラサカプコン徳重","愛知県 名古屋市緑区 鳴海町 字徳重18-44　ヒルズウォーク徳重ガーデンズ　ガーデンズ棟2F","K2mljTuYK1p_b7UccDHAiQ","35.094389 136.999208"
"プラサカプコン甲府","山梨県 中巨摩郡昭和町 西条字北河原 3717","UzSf8ZyfrDUWq0Ymx_ERdQ","35.64287205 138.546052"
"マリンガーデンららぽーとTOKYO-BAY","千葉県 船橋市 浜町 2-1-1　ららぽーとTOKYO-BAY西館3F","5Q1z1xau7mb0Fq_5c1u4Ww","35.686281 139.990393"
"ユーズランド東浦","愛知県 知多郡東浦町 緒川申新田二区 67-8　イオンモール東浦2F","l8RKKMo7m7zzVon0E1mOiw","34.97895528 136.9741166"
"ユーズランド水戸内原","茨城県 水戸市 中原町字西 135　イオンモール水戸内原2F","_g5tCiEcek4HvS-ihNY16Q","36.37417402 140.3581846"
"ラッキー中央店フェリシダ","千葉県 千葉市中央区 富士見 2-8-1","25NMlVHEFQ5JYjqA8w1OlA","35.61026525 140.1182985"
"小田原メトロポリス","神奈川県 小田原市 前川 219-4","ljRWgmWbQdDuEtdv7t_lLg","35.2787436 139.1940786"
