name,loc_id,address,pcb_count
"アップルグランリバー大井川","sx05dGBgbUm8FKGVGOwCdA","静岡県 焼津市 下江留 1327","2"
"アピナ焼津","J4XS18eZYZosPz8KO6Lyaw","静岡県 焼津市 道原 585","2"
"GiGO 掛川","RhCAHN7sK8RD4UAtY8erKA","静岡県 掛川市 細田 248","2"
"GiGO 袋井","fybuIak5m5Rxz5CSHESp6w","静岡県 袋井市 川井 1142-1","2"
"namco名古屋駅前","dGBPFCUskxBgPVYyY5JuGg","愛知県 名古屋市中村区 椿町 6-6　ビックカメラ名古屋駅西店B1・6F","8"
"ゲームパニック大須","jk53mkKF2xxohgpltWpEEg","愛知県 名古屋市中区 大須 3-30-93　メガタウンB1F","6"
"タイトーステーションフェドラ大須","sCDewv3uX1El61Xv5vvVxw","愛知県 名古屋市中区 大須 3-30-31　萬松寺駐車場ビル1・2F","4"
"ゲーム・キング・ジョイ","_HZmOYM6vTr7Ltes0gcchQ","愛知県 名古屋市中区 栄 3-3-32","4"
"名古屋レジャーランド内田橋","xhWcqjaoG9OHvb7Zz7MgDg","愛知県 名古屋市南区 内田橋 2-26-22","4"
"GiGO 金山","3-ORBrPCdQ-h4VpI8Mycsg","愛知県 名古屋市熱田区 金山 1-19-2","4"
"ゲームパニック大高","j2K-unC89HszP8F_031cYQ","愛知県 名古屋市緑区 忠治山 201　名古屋グランドボウルB2F","4"
"ゲームランド岡崎","niqSaLiggk5aCUH1Fod82Q","愛知県 岡崎市 戸崎町字外山 38-5　イオンモール岡崎シネマ館3F","4"
"GiGO 北岡崎","LBsjRSAKCdJtOP0xJkQ9Ag","愛知県 岡崎市 錦町 2-4","4"
"M'sPARK豊田","eqdGKTa5ep0JrNzZU8uHrA","愛知県 豊田市 寿町 3-21・22　トヨタグランドビル","4"
"バンダイナムコ Cross Store 名古屋","puqXF_2m8qXf-HFa12sMMg","愛知県 名古屋市西区 二方町 40　mozoワンダーシティ4F　4053区画","3"
"プラサカプコン稲沢","zl_Tyz36m7t6BcHpKMAJ2w","愛知県 稲沢市 長野 7-1-2　リーフウォーク稲沢　モール棟2F　区画No.201","3"
"コムテックスクウェア","cQRctRLqvj0NWvr-r5EluQ","愛知県 名古屋市中区 金山 1-16-8","2"
"アピナ名古屋栄","Q_X3pEIII3-m3kW_i38Nxw","愛知県 名古屋市中区 錦 3-17-15　ドン・キホーテ栄本店B1～B3F","2"
"ラウンドワンスタジアム中川1号線","kJ96BZIgAgy3qLH5CIEvXw","愛知県 名古屋市中川区 法蔵町 2-23","2"
"コムテックタワー","F7ljdxdhKJx1C3ESSTcUXw","愛知県 名古屋市中村区 名駅 4-10-20","2"
"GIGO マーケットスクエアささしま","-VKb5bpF1YJYJW5jKvAjtw","愛知県 名古屋市中村区 平池町 4-60-14　マーケットスクエアささしま1F","2"
"ファンタジープラザ名古屋","lpod1NXrZ-3eyHzdqKwneA","愛知県 名古屋市北区 玄馬町 234-1　CROSS TOWN　ドン・キホーテ名古屋本店2F","2"
"ラウンドワン千種","ZujUSFrVKFgkq1A0AMyMMA","愛知県 名古屋市千種区 新栄 3-20-17　タイホウ千種駅南ビル8F","2"
"モーリーファンタジーf 新瑞橋","yqtry2mo9dZlIHOxc_BNjw","愛知県 名古屋市南区 菊住 1-7-10　イオンモール新瑞橋　イオン新瑞橋店3F","2"
"プラサカプコン徳重","K2mljTuYK1p_b7UccDHAiQ","愛知県 名古屋市緑区 鳴海町 字徳重18-44　ヒルズウォーク徳重ガーデンズ　ガーデンズ棟2F","2"
"ラウンドワンスタジアム豊橋","pKV8Q4SNthazlUGAKd1ENg","愛知県 豊橋市 大岩町字岩田 27-2","2"
"GiGO 豊橋飯村","2XbCctfme1gFxSAgJpaLMw","愛知県 豊橋市 飯村町西山 25-121","2"
"GiGO 岡崎","JJUKFKxqqu8AKFeYiXrzbg","愛知県 岡崎市 上地 3-50-4","2"
"ADXマミー岡崎","WjOKnaPt8-R61FKbJJgF3w","愛知県 岡崎市 井田新町 6-1","2"
"GiGO 尾西","uK9YXuilCH5wCvHvAXAEaw","愛知県 一宮市 篭屋 3-9-7　アソビックスびさい1F","2"
"ラウンドワンスタジアム半田","auvseEKrmb62d-DqdpXXaA","愛知県 半田市 瑞穂町 6-7-8","2"
"GiGO 春日井","FGp4SEhB9nT2NkBaS_X5wA","愛知県 春日井市 岩野町 4180","2"
"豊川メトロポリス","2KDJ_WbwTTgLhvmZt2ifuw","愛知県 豊川市 下長山町上アライ 14-1","2"
"MIRAINOイオンモール豊川","L7a18TGqDxWxtuIfjxLV-w","愛知県 豊川市 白鳥町兎足 1-16　イオン新豊川3F","2"
"GiGO イオンタウン刈谷","rYUoXzLtE2SOu7CX14RJfw","愛知県 刈谷市 東境町京和 1　イオンタウン刈谷内","2"
"M'sPARK刈谷","sGJo2Mn_qYmmXOU6jzdQUw","愛知県 刈谷市 稲場町 3-206","2"
"GiGO 豊田","utvRw5zMR8QOEKzMOGQA5g","愛知県 豊田市 深田町 1-65-1","2"
"安城メトロポリス","voxcgXrCQKrVGA2EeiUJkQ","愛知県 安城市 浜富町 6-8","2"
"GiGO 安城","sMdP3MbrPQMXa3-zM6Y5DA","愛知県 安城市 百石町 2-35-13","2"
"アミューズファクトリー常滑","xnp8nJaqYvWWMo8dwEzeDw","愛知県 常滑市 りんくう町 2-20-3　イオンモール常滑2F","2"
"ゲームアルカナ","tDl95pZUkUp57dQR6H-QLw","愛知県 稲沢市 朝府町 2-33","2"
"ファンタジックランド高浜","2nfzcDkk9U71AuXx04t_iQ","愛知県 高浜市 神明町 8-20-1　Tぽーと2F","2"
"ソユーゲームフィールド赤池","nE2yscc-S6s-nR2PflPnww","愛知県 日進市 赤池町 箕ノ手1　プライムツリー赤池3F","2"
