店名,場所
アドアーズ狸小路,北海道札幌市中央区南三条西４－１２－１アルシュビル５・６Ｆ
タイトーステーション 札幌狸小路２丁目店,北海道札幌市中央区南３条西２丁目－１４
ディノスパーク帯広稲田,北海道帯広市稲田町南八線西12番地1 ｽｽﾞﾗﾝﾎﾞｳﾙ 1、2階
ディノスパーク札幌中央,北海道札幌市中央区南3条西1丁目8番地ｽｶﾞｲﾋﾞﾙ1,2地下1階
ディノスパーク札幌手稲,北海道札幌市手稲区前田1条11丁目 西友手稲店 3階
ディノスパーク室蘭,北海道室蘭市東町4丁目31番3号 1階
ディノスパーク帯広,北海道帯広市白樺16条西2丁目 ﾄﾞﾘｰﾑﾀｳﾝ白樺 1階
ディノスパーク旭川,北海道旭川市大雪通5丁目496番地5号 1階
ディノスパーク苫小牧,北海道苫小牧市柳町3丁目1番20号 ｲｵﾝﾓｰﾙ苫小牧 2階
ディノスパークノルベサ,北海道札幌市中央区南3条西5丁目1番地1号NORBESA 5階
ディノスパーク北見店,北海道北見市西三輪5丁目1番地16号
ディノスパーク音更,北海道河東郡音更町木野大通西15丁目2番地12ﾋﾞｯｸﾞﾏｰﾄB棟
ＢＩＧＢＡＮＧ北見店,北海道北見市中央三輪7丁目４４６－１
ＢＩＧＢＡＮＧ函館,北海道函館市梁川町９－３テキサスビル３Ｆ
ＢＩＧＢＡＮＧ室蘭,北海道室蘭市中島本町２－８－１
ＢＩＧＢＡＮＧ釧路,北海道釧路郡釧路町木場２－１
キャッツアイ新札幌店,北海道札幌市厚別区厚別東五条1-1-10
キャッツアイ清田店,北海道札幌市清田区清田１－１－２０－１
キャッツアイ新川店,北海道札幌市北区新川二条7丁目1-7
キャッツアイ手稲店,北海道札幌市手稲区前田３条１０丁目２－２１
キャッツアイ篠路店,北海道札幌市北区篠路1条4丁目6-30
ソユーゲームフィールド旭川駅前店,北海道旭川市宮下通７－２－５ｲｵﾝﾓｰﾙ旭川駅前４F
ラウンドワン函館店,北海道函館市西桔梗町８４８－１１
ラウンドワン旭川店,北海道旭川市永山三条１－４－７
ラウンドワン札幌北２１条店,北海道札幌市東区北二十一条東１－１－２１
ラウンドワン札幌白石本通店,北海道札幌市白石区本通１６丁目北１－５０
ラウンドワン札幌すすきの店,北海道札幌市中央区南五条西3-6-1
青森ユーズランド下田店,青森県上北郡おいらせ町中野平４０－１イオンモール下田１Ｆ
スペースファンタジーインフィニ,青森県弘前市城東北３−１０−１さくらの弘前店４Ｆ
ラウンドワン青森店,青森県青森市浜田３－１－１
セガワールド八戸Ｒ４５,青森県八戸市城下４－２５－１４
セガ弘前,青森県弘前市末広１－３－３
岩手ラウンドワン盛岡店,岩手県盛岡市盛岡駅西通２－１０－３５
セガ水沢,岩手県奥州市水沢区佐倉河字鎧田４－１
秋田セガワールド秋田,秋田県秋田市茨島1-1-16
ラウンドワン秋田店,秋田県秋田市卸町１－１－２
宮城THE 3RD PLANET BiVi仙台店,宮城県仙台市宮城野区榴岡2-1-25
ＧＡＭＥＢＡＮＫ泉店,宮城県仙台市泉区大沢２－５－４
タイトーステーション 仙台名掛丁店,宮城県仙台市青葉区中央１－７－１３
タイトーステーション 仙台クリスロード店,宮城県仙台市青葉区中央２－３－２５
仙台レジャーランド一番町店,宮城県仙台市青葉区一番町4-3-27ガリレア一番町ビル1Ｆ～3Ｆ
ビーカム松森店,宮城県仙台市泉区松森字斎兵衛５８－１
スーパーノバ仙台利府,宮城県宮城郡利府町加瀬字新前谷地５５－１
ゲームコーナー東部,宮城県仙台市若林区六丁の目中町26-60 斎喜東部ビル2F
ラウンドワン仙台苦竹店,宮城県仙台市宮城野区苦竹１－７－１０
セガワールド佐沼,宮城県登米市迫町佐沼字中江２－５－８
セガワールド古川,宮城県大崎市古川城西６６
