 店名,場所
ディノスパーク苫小牧,北海道苫小牧市柳町3丁目1番20号 ｲｵﾝﾓｰﾙ苫小牧 2階
ＢＩＧＢＡＮＧ北見店,北海道北見市中央三輪7丁目４４６－１
ＢＩＧＢＡＮＧ函館,北海道函館市梁川町９－３テキサスビル３Ｆ
ＢＩＧＢＡＮＧ釧路,北海道釧路郡釧路町木場２－１
キャッツアイ新札幌店,北海道札幌市厚別区厚別東五条1-1-10
キャッツアイ清田店,北海道札幌市清田区清田１条１－２０－１
キャッツアイ新川店,北海道札幌市北区新川二条7丁目1-7
キャッツアイ手稲店,北海道札幌市手稲区前田３条１０丁目２－２１
キャッツアイ篠路店,北海道札幌市北区篠路1条4丁目6-30
ソユーゲームフィールド旭川駅前店,北海道旭川市宮下通７－２－５ｲｵﾝﾓｰﾙ旭川駅前４F
ラウンドワン函館店,北海道函館市西桔梗町８４８－１１
ラウンドワン旭川店,北海道旭川市永山三条１－４－７
ラウンドワン札幌北２１条店,北海道札幌市東区北二十一条東１－１－２１
ラウンドワン札幌白石本通店,北海道札幌市白石区本通１６丁目北１－５０
ラウンドワン札幌すすきの店,北海道札幌市中央区南五条西3-6-1
ソユースペースファンタジーインフィニ,青森県弘前市城東北３－１０－１さくらの弘前店４Ｆ
ラウンドワン青森店,青森県青森市浜田３－１－１
セガ八戸,青森県八戸市城下4-25-14
セガ弘前,青森県弘前市末広1-3-3
アミューズメントスペースBAGIBAGI,岩手県宮古市新川町3-17
Ｇ３ポロスイオンタウン北上店,岩手県北上市里分四地割２０番地１
ラウンドワン盛岡店,岩手県盛岡市盛岡駅西通２－１０－３５
セガ水沢,岩手県奥州市水沢区佐倉河字鎧田4-1
ＧＡＭＥＢＡＮＫ仙台泉店,宮城県仙台市泉区大沢２－５－４
仙台レジャーランド一番町店,宮城県仙台市青葉区一番町4-3-27ガリレア一番町ビル1Ｆ～3Ｆ
THE 3RD PLANET BiVi仙台店,宮城県仙台市宮城野区榴岡2-1-25
スーパーノバ仙台利府,宮城県宮城郡利府町加瀬字新前谷地５５－１
スーパーノバイオン仙台中山,宮城県仙台市泉区南中山１－３５－５７別館３Ｆ
ゲームコーナー東部,宮城県仙台市若林区六丁の目中町26-60 斎喜東部ビル2F
ラウンドワン仙台苦竹店,宮城県仙台市宮城野区苦竹１－７－１０
セガワールド佐沼,宮城県登米市迫町佐沼字中江2-5-8
セガ名取セッツウイングス,宮城県名取市飯野坂字土城堀57-1
セガ仙台,宮城県仙台市青葉区中央２－５－５
セガワールド古川,宮城県大崎市古川城西15
セガワールド石巻,宮城県石巻市大街道東4-1-45
セガ仙台コロナワールド,宮城県仙台市宮城野区福室字田中前1番53-1
ラウンドワン秋田店,秋田県秋田市卸町１－１－２
セガ秋田,秋田県秋田市茨島1-1-16
スーパーノバ天童,山形県天童市南町1-5-26
セガワールド北山形,山形県山形市北町1-3-20
セガ米沢,山形県米沢市大字花沢字タナコ原177
ＡＧスクエア庄内,山形県東田川郡三川町猪字大堰端326番地6
タイトーアミューズメントシティ郡山,福島県郡山市南2-38　フレスポ郡山店
タイトーＦ郡山オリエントパーク店,福島県郡山市安積町荒井字大久保３５－１
G3ポロス原町店,福島県南相馬市原町区北原本屋敷188
スーパーノバ福島,福島県福島市黒岩字中島7-2
スーパーノバ会津インター,福島県会津若松市町北町上荒久田字宮下１４２
ラウンドワン福島店,福島県福島市太田町14-18
ラウンドワン郡山店,福島県郡山市向河原町４－５５
セガ小名浜,福島県いわき市小名浜林城字塚前18-1
セガワールド福島,福島県福島市本内中井1-2
