41.82459206 140.7173548,北海道,ラウンドワン函館店
43.79655355 143.8426866,北海道,GiGO北見
44.173913 142.394292,北海道,アミューズメントスペース遊ランド士別店
43.34423305 142.3786409,北海道,遊ランド富良野店
42.91947724 143.174195,北海道,GiGOドリームタウン白樺
42.89057652 143.1965812,北海道,GiGO帯広稲田
43.798192 142.373983,北海道,遊ランド春光店
43.78651521 142.397308,北海道,ラウンドワン旭川店
43.723884 142.368924,北海道,遊ランド西御料店
43.05431311 141.3540587,北海道,ラウンドワン札幌すすきの店
43.06749301 141.3465097,北海道,GiGO札幌駅西口
43.12045749 141.2452406,北海道,GiGOイオン札幌手稲駅前SC
43.08681907 141.3495671,北海道,ラウンドワン札幌北21条店
43.03673108 141.4328227,北海道,ラウンドワン札幌白石本通店
45.40077226 141.6807113,北海道,アミューズメントスペース遊ランド稚内店
40.60188383 141.4176032,青森県,ユーズランド下田店
40.79867718 140.7483213,青森県,ラウンドワン青森店
39.179225 141.162155,岩手県,テクノワールド
39.70320065 141.1454348,岩手県,サンシャイン
39.666626 141.157277,岩手県,タイトーFステーション盛岡南店
39.70035197 141.133077,岩手県,ラウンドワン盛岡店
38.26828399 140.9172614,宮城県,ラウンドワン仙台苦竹店
38.299061 140.828497,宮城県,GiGOイオン仙台中山
38.352801 140.877385,宮城県,GAME BANK
38.25101621 140.9438974,宮城県,ゲームコーナー東部
38.26424 140.87121,宮城県,GiGO仙台一番町
38.261006 140.875705,宮城県,タイトーステーション仙台クリスロード店
38.26181 140.87675,宮城県,GiGO仙台
38.1565798 140.8882353,宮城県,GiGO名取
38.32801132 140.9756135,宮城県,GiGO利府
38.36528256 140.8765988,宮城県,アピナ富谷店
38.065153 140.737021,宮城県,ユーズランド大河原店
39.70235247 140.1092394,秋田県,ラウンドワン秋田店
38.34302924 140.3739732,山形県,GiGO天童
38.76416135 140.3089553,山形県,GiGO新庄
37.91095607 140.133677,山形県,GiGO米沢
38.75839782 139.8439993,山形県,アピナ鶴岡店
36.97400283 140.8903913,福島県,嶺宝スポーツセンター
37.51832577 139.9222191,福島県,GiGO会津若松
37.75259469 140.4562354,福島県,ラウンドワン福島店
37.72791083 140.4671033,福島県,GiGO福島南
37.12433442 140.1824915,福島県,ゲームスペースA-3
37.40229903 140.3957065,福島県,ラウンドワン郡山店
37.37446344 140.3838207,福島県,アミューズパーク郡山店
37.37465045 140.3487929,福島県,タイトーFステーション郡山オリエントパーク店
37.44821593 140.3804189,福島県,GiGO日和田
35.99554837 140.0406889,茨城県,ゲームメガみらい平店
36.07682559 140.1047877,茨城県,ゲームメガつくば店
36.07768145 140.1153322,茨城県,GiGOデイズタウンつくば
36.40636031 140.5317325,茨城県,アミューズビバ
36.34746899 140.5800737,茨城県,GiGOひたちなか別館
36.17067062 139.9664734,茨城県,ピンクパンサー 下妻店
36.2067047 139.7580433,茨城県,ゲームパドック プラスワン
36.04632758 140.1679958,茨城県,ゲームパニックつくば
36.106571 140.215204,茨城県,ピンクパンサー土浦店
36.54818909 140.6305166,茨城県,ゲームメガ日立店
36.374428 140.3590138,茨城県,ユーズランド水戸内原店
36.369467 140.474532,茨城県,GiGO水戸
36.3807337 140.4136026,茨城県,ピンクパンサー 水戸赤塚店
36.33805576 140.4832773,茨城県,ゲームメガ水戸けやき台店
36.04223085 140.2100215,茨城県,アミューズメントパレスワンダーヴュー阿見店
36.30255879 139.9564543,茨城県,フリスポ下館
36.48822111 139.9053211,栃木県,インターパークプラスワン 宇都宮店
36.558326 139.90882,栃木県,GiGO宇都宮
36.54080987 139.8868656,栃木県,ラウンドワン宇都宮店
36.56004 139.88167,栃木県,アミューズメントヒカリ
36.56327652 139.8604649,栃木県,シーサイドリゾート
36.32220259 139.4503607,栃木県,ドラマ足利店
36.85195131 139.9934495,栃木県,大田原スポーツランド
36.3315169 139.1624928,群馬県,インターワールド伊勢崎店
