【2023年6月28日(水) 14:00更新】,adress
ACT草津ACTION,滋賀県草津市野路3丁目1-5
G-stage浜町,長崎県長崎市浜町2-26
INTER PARK+1宇都宮,栃木県宇都宮市インターパーク６−５−１
M's PARK刈谷店,愛知県刈谷市稲場町３−２０６
M's PARK豊田店,愛知県豊田市寿町３−２１、２２
SOYU GAME FIELD堺鉄砲町店,大阪府堺市堺区鉄砲町1番地イオンモール堺鉄砲町3F
SOYUGameFieldみのおキューズモール店,大阪府箕面市西宿１−１５−３０みのおキューズモールＣENTER棟２階
SOYUGameField奈良橿原店,奈良県橿原市曲川町7-20-1　イオンモール橿原3F
SOYUGameField御所野店,秋田県秋田市御所野地蔵田1-1-1イオンモール秋田2F
SOYUGameField旭川西店,北海道旭川市緑町23-2161-3イオンモール旭川西3F
TFSトナリエ宇都宮,栃木県宇都宮市駅前通り１丁目４番６号ララスクエアB1F
THE 3RD PLANET BiVi仙台店,宮城県仙台市宮城野区榴岡2-1-25
THE 3RD PLANET BiVi沼津店,静岡県沼津市大手町1-1-5
THE 3RD PLANET OZ浜松店,静岡県浜松市東区宮竹町322-1
THE 3RD PLANET ピボット福島店,福島県福島市栄町1-1 パワーシティーピボット内
THE 3RD PLANET 島田店,静岡県島田市中溝町2531
THE 3RD PLANET 焼津店,静岡県焼津市八楠3-18-5
THE 3RD PLANET 長野大通り店,長野県長野市鶴賀権堂町1506-3 長電権堂第2ビル1階
THE 3RD PLANET 高崎店,群馬県高崎市下和田町5-3-8 メディアメガ高崎内
キャッツアイ新札幌店,北海道札幌市厚別区厚別東五条1-2-10
あそＶＩＶＡゲームセンター,京都府福知山市字堀小字下高田２１４６−１
あそＶＩＶＡ阪急茨木店,大阪府茨木市永代町６−２スポーツプラザ茨木２Ｆ
ゆめタウン三豊ビックウェーブ,香川県三豊市豊中町本山甲22
アップルグランリバー大井川店,静岡県焼津市下江留１３２７
アップル島田店,静岡県島田市宝来町8-5
アップル新北街道店,静岡県静岡市葵区沓谷5-13-4
アドアーズ上野アメ横,東京都台東区上野４−９−１４Gビル上野01　Ｂ１〜4階
アドアーズ仙川,東京都調布市仙川町２−２１−１２　ＶＩＣビル７
アドアーズ新小岩,東京都葛飾区新小岩１−４４−４　ＶＯＲＴ新小岩ビル
アドアーズ町田,東京都町田市原町田６−２１−２５　大正堂第２ビル１〜４Ｆ
アピナ上尾店,埼玉県上尾市緑丘３−３−１１−２　ＰＡＰＡ上尾ショッピングアヴェニュープリンセス棟別棟
アピナ上田店,長野県上田市秋和３５９−１
アピナ伊那店,長野県伊那市大字西町５０９３
アピナ佐久インター店,長野県佐久市岩村田北１−１３−１
アピナ各務原店,岐阜県各務原市蘇原花園町２丁目９番地１
アピナ塩尻店,長野県塩尻市広丘野村１７９４−１
アピナ大宮店,埼玉県さいたま市大宮区仲町１−１９　大東ビル1階・地下1階
アピナ太田店,群馬県太田市内ケ島町９０７−１
アピナ姫路店,兵庫県姫路市東郷町１４５４−３姫路リオス２階
アピナ富山南店,富山県富山市堀川町３５５−３　マイプラザ内
アピナ松本店,長野県松本市双葉１９−１０
アピナ橋本店,神奈川県相模原市緑区西橋本５−１−１ラ・フロール駐車場棟１階
アピナ浜松店,静岡県浜松市中区葵西２−２７−１０
アピナ焼津店,静岡県焼津市道原５８５
アピナ荻窪店,東京都杉並区上荻１−１３−１０ハクサンビル
アピナ鈴鹿店,三重県鈴鹿市庄野羽山4-20-1イオンタウン鈴鹿2階
