shop,address,count,shopid,番号 更新時間ノーマル/レア/UTブースター,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
キャッツアイミュンヘン大橋店,北海道札幌市豊平区平岸一条23丁目 801-1,2,shop_id=11126,01 2024-02-25UT SEASON:01/UT SEASON:01UTブースター－(※リンクseason08),02 2024-02-25UT SEASON:01/UT SEASON:01UTブースター－(※リンクseason08)
キャッツアイ宮の沢店,北海道札幌市手稲区西宮の沢 5 条 2 丁目 11-15 ,2,shop_id=5939,01 2024-02-25UT SEASON:01/UT SEASON:01UTブースター－(※リンクseason08),02 2024-02-25UT SEASON:01/UT SEASON:01UTブースター－(※リンクseason08)
キャッツアイ新川店,北海道札幌市北区新川二条7丁目1-7 キャッツアイ新川,4,shop_id=3873,01 2024-02-25UT SEASON:01/UT SEASON:01UTブースター－(※リンクseason08),02 2024-02-25UT SEASON:01/UT SEASON:01UTブースター－(※リンクseason08),03 2024-02-25UT SEASON:01/UT SEASON:01UTブースター－(※リンクseason08),04 2024-02-25UT SEASON:01/UT SEASON:01UTブースター－(※リンクseason08)
キャッツアイ新札幌店,北海道札幌市厚別区厚別東5条1丁目1-10 キャッツアイ新札幌,4,shop_id=16,01 2024-02-25UT SEASON:01/UT SEASON:01UTブースター－(※リンクseason08),02 2024-02-25UT SEASON:01/UT SEASON:01UTブースター－(※リンクseason08),03 2024-02-25UT SEASON:01/UT SEASON:01UTブースター－(※リンクseason08),04 2024-02-25UT SEASON:01/UT SEASON:01UTブースター－(※リンクseason08)
キャッツアイ東苗穂店,北海道札幌市東区東苗穂6条2丁目1-25 ,4,shop_id=8887,01 2024-02-25UT SEASON:01/UT SEASON:01UTブースター－(※リンクseason08),02 2024-02-25UT SEASON:01/UT SEASON:01UTブースター－(※リンクseason08),03 2024-02-25UT SEASON:01/UT SEASON:01UTブースター－(※リンクseason08),04 2024-02-25UT SEASON:01/UT SEASON:01UTブースター－(※リンクseason08)
キャッツアイ清田店,北海道札幌市清田区清田一条一丁目２０－１ キャッツアイ清田,2,shop_id=3874,01 2024-02-25UT SEASON:01/UT SEASON:01UTブースター－(※リンクseason08),02 2024-02-25UT SEASON:01/UT SEASON:01UTブースター－(※リンクseason08)
キャッツアイ篠路店,北海道札幌市北区篠路一条４丁目６－３０ キャッツアイ篠路,2,shop_id=11131,01 2024-02-25UT SEASON:01/UT SEASON:01UTブースター－(※リンクseason08),02 2024-02-25UT SEASON:01/UT SEASON:01UTブースター－(※リンクseason08)
ゲームランド新さっぽろ店,北海道札幌市厚別区厚別中央2条5-7 カテプリさっぽろ 3F,2,shop_id=9920,01 2024-02-25UT SEASON:01/UT SEASON:01UTブースター－(※リンクseason08),02 2024-02-25UT SEASON:01/UT SEASON:01UTブースター－(※リンクseason08)
ソユーゲームフィールド札幌発寒店,北海道札幌市西区発寒八条12-1-1 イオンモール札幌発寒3F,2,shop_id=3528,01 2024-02-25LX SEASON:04/LX SEASON:04UTブースター－(※リンクseason08),02 2024-02-25LX SEASON:04/LX SEASON:04UTブースター－(※リンクseason08)
タイトーステーション札幌狸小路2丁目店,北海道札幌市中央区南三条西2-14 ,4,shop_id=9688,01 2024-02-25UT SEASON:01/UT SEASON:01UTブースター－(※リンクseason08),02 2024-02-25UT SEASON:01/UT SEASON:01UTブースター－(※リンクseason08),03 2024-02-25UT SEASON:01/UT SEASON:01UTブースター－(※リンクseason08),04 2024-02-25UT SEASON:01/UT SEASON:01UTブースター－(※リンクseason08)
