
GiGO秋田,秋田県秋田市茨島1-1-16
GiGO稲毛オーツーパーク,千葉県千葉市稲毛区園生町380-1
GiGO竹の塚,東京都足立区竹の塚6-8-6 ピーくんPlaza-B
GiGO籠原,埼玉県熊谷市美土里町1-169
GiGO米沢,山形県米沢市大字花沢字タナコ原177
GiGO自由が丘,東京都目黒区自由が丘2-10-9
GiGO船堀,東京都江戸川区船堀1-6-11
GiGO花園,埼玉県深谷市荒川359
GiGO袋井,静岡県袋井市川井1142-1
GiGO西葛西,東京都江戸川区西葛西5-1-14第一保志ビル
GiGO西那須野,栃木県那須塩原市南郷屋2-106-27
GiGO豊橋飯村,愛知県豊橋市飯村町字西山25-121
GiGO豊田,愛知県豊田市深田町1-65-1
GiGO赤羽,東京都北区赤羽1-7-9赤羽第一葉山ビルB1
GiGO赤羽駅前,東京都北区赤羽１−２−４
GiGO霞ヶ浦,茨城県稲敷市西代1473-1
GiGO館林,群馬県館林市小桑原町949-1
GiGO龍ヶ崎,茨城県龍ケ崎市藤ケ丘4-2-8
M's PARK三郷店西館,愛知県尾張旭市南原山町赤土２０７
THE 3RD PLANET BiVi京都二条店,京都府京都市中京区西ノ京栂尾町107
THE 3RD PLANET 山口店,山口県山口市湯田温泉6-8-3
THE 3RD PLANET 静岡インター店,静岡県静岡市駿河区中野新田383-3
アドアーズ中野,東京都中野区中野５−５２−１５　ブロードウェイ１８５
アピナ各務原店,岐阜県各務原市蘇原花園町２丁目９番地１
アピナ浜松店,静岡県浜松市中区葵西２−２７−１０
アミパラ加古川店,兵庫県加古川市尾上町今福７１−２
アミパラ周南久米店,山口県周南市大字久米２８３４　イオンタウン周南久米
アミパラ津山店,岡山県津山市河辺１０００−１イオンモール津山２Ｆ
アミュージアム周南店,山口県下松市中央町21-3THEMALL周南3F
アミュージアム津島店,愛知県津島市大字津島字北新開351番地ﾖｼﾂﾞﾔ津島本店ｼﾈﾏ館2F
アミュージアム茶屋町店,大阪府大阪市北区茶屋町15-34
アミュージアム高松店,香川県高松市伏石町2144-9
アミュージアムＯＳＣ店,東京都練馬区東大泉２−３４−１オズスタジオシティ２Ｆ
アミューズメント　ＦＵＮＦＵＮ越谷店,埼玉県越谷市南荻島２７７０−１
アミューズメントスペースBAGIBAGI,岩手県宮古市新川町3-17
アミューズメントパークＭＧ須崎,高知県須崎市神田２５００−１マルナカ須崎店内 別棟
アミューズメントＣＵＥ奈良大和高田店,奈良県大和高田市東中２−１１−１６
イオン根室アミューズメントランド,北海道根室市常磐町3-9
キッズサーカス奈良柏木店,奈良県奈良市柏木町４５６−１
キャッツアイ八千代店,千葉県八千代市吉橋１８５１　ｉｓｍ緑ヶ丘内
キャッツアイ新川店,北海道札幌市北区新川二条7丁目1-7
キャッツアイ新札幌店,北海道札幌市厚別区厚別東五条1-1-10
キャッツアイ東苗穂,北海道札幌市東区東苗穂６条２丁目１−２５
キャッツアイ篠路店,北海道札幌市北区篠路1条4丁目6-30
ギガゾーン岩国,山口県岩国市室の木町１−５−５
クラブセガ綱島,神奈川県横浜市港北区綱島西2-6-29
ゲームシティボストン,群馬県前橋市大友町3-7-3
ゲームソニックビーム松戸,千葉県松戸市松戸1172-1
ゲームフィールド鷹巣店,秋田県北秋田市栄字前綱76　いとく鷹巣SC内
ゲームフェイス八尾店,大阪府八尾市天王寺屋2-68
ゲームラボ　サイドセブン,大分県大分市上宗方南１丁目６４９−１
ゲームランド千葉ニュータウン店,千葉県印西市中央北３丁目　イオンモール　千葉ＮＴモール棟３Ｆ
コムテックプラザ赤池,愛知県日進市赤池１−２９０１
ザ・サードプラネット多摩センター店,東京都多摩市落合１−４１−１マグレブウェスト１階・２階
シネパーク広,広島県呉市広中町１−９
シルクハット川崎モアーズ,神奈川県川崎市川崎区駅前本町７番地　岡田屋モアーズ１・２階
ジョイランドアミューズみしま,静岡県三島市梅名３０８−６
スタジオプリモ本八幡店,千葉県市川市八幡２－１５－１０パティオ５階
スタジオプリモ沼津店,静岡県沼津市大手町３−４−１沼津ラクーン５Ｆ
スターフィールド,新潟県長岡市新組町2003番地1
スーパーノバイオン仙台中山,宮城県仙台市泉区南中山１−３５−５７別館３Ｆ
スーパービバホーム新習志野店２階,千葉県習志野市茜浜１−１−２　スーパービバホーム２Ｆ
セガららぽーとTOKYO−BAY,千葉県船橋市浜町2-1-1北館1F
セガイト—ヨーカドー古淵,神奈川県相模原市南区古淵3-13-33 イトーヨーカドー3F
セガエイスクエア草津,滋賀県草津市西渋川1-23-23エイスクエアSARA南館2階
セガコロワ甲子園,兵庫県西宮市甲子園高潮町3−3Crowa甲子園3F
セガビバモール寝屋川,大阪府寝屋川市寝屋南2-22-2ビバモール寝屋川 モール棟2F
セガワールド六地蔵,京都府京都市伏見区桃山町山ノ下32京都SCビルAM棟2F
セガワールド和泉,大阪府和泉市肥子町2-4-41
セガワールド宇品,広島県広島市南区宇品西3-4フタバ図書GIGA宇品店内
セガワールド松原,大阪府堺市東区八下町3-10
セガワールド枚方,大阪府枚方市須山町83-1サンシャインプラザ枚方内
セガ今福,大阪府大阪市城東区今福東1-9-34
セガ南町田ＧＢＰシアター,東京都町田市鶴間３−４−１ワンダーシアター１階Ｈ１０３区画
セガ多治見,岐阜県多治見市住吉町1-1-1
セガ小田原ダイナシティ,神奈川県小田原市中里296-1 ダイナシティイーストモール3F
セガ幕張,千葉県千葉市美浜区ひび野1-8メッセ・アミューズ・モール１Ｆ
セガ明石,兵庫県明石市魚住町清水2464-1
セガ松江,島根県松江市嫁島町12-15
セガ海老名,神奈川県海老名市中央一丁目４番３１号海老名プラザビル１階
セガ甲西,滋賀県湖南市夏見字二ツ橋356-1
ソニックワールド大村店,長崎県大村市古賀島町３８３−１
ソユーゲームフィールド新発田店,新潟県新発田市住吉町５丁目１１番５号　イオンモール新発田２Ｆ
ソユープレイランドソピア幕張店,千葉県千葉市花見川区幕張町4-417-25イトーヨーカドー幕張店2F
タイトーFステーションりんくうシークル店,大阪府泉佐野市りんくう往来南３
タイトーFステーションヨドバシ博多店,福岡県福岡市博多区博多駅中央街6-12ヨドバシカメラ4Ｆ
タイトーＦステーション南大沢店,東京都八王子市南大沢２−３ｆａｂ南大沢２Ｆ
タイトーＦステーション姫路,兵庫県姫路市駅前町２６９・２７０番地
チャリオット五井店,千葉県市原市五井中央西２−１−２
テクノワールド,岩手県奥州市江刺区愛宕字梁川127-1
ナムコプラボ宇都宮店,栃木県宇都宮市簗瀬町１６０６−１　Ｐ＆Ｄビル
パームトップス,神奈川県厚木市中町4-15-9
ファンタジープラザ名古屋,愛知県名古屋市北区玄馬町２３４−１ﾄﾞﾝｷﾎｰﾃ名古屋本店２階
プラサカプコン直方店,福岡県直方市湯野原２−１−１イオンモール直方２Ｆ
プレイランドエフワンＲ,宮城県仙台市青葉区中央２−６−６タベイビルＢ１Ｆ
プレイランドソピアいとくアクロス能代店,秋田県能代市字寺向70いとくアクロス能代店内
プレビ　アリオ橋本店,神奈川県相模原市緑区大山町１−２２アリオ橋本店内２階
ベネクス川越店,埼玉県川越市大仙波340-1
マンガ倉庫鹿児島店,鹿児島県鹿児島市小松原1-6-7
ユーズランド倉敷店,岡山県倉敷市水江１番地イオンモール倉敷２Ｆ
ラウンドワン八千代村上店,千葉県八千代市村上南１丁目５番地５４
大田原スポーツランド,栃木県那須塩原市一区町１０４−６０
宮西スタジアム２,愛媛県松山市宮西二丁目４の４１
楽市楽座イオンモール土浦店,茨城県土浦市上高津３６７イオンモール土浦ＳＣ３階
楽市楽座イオンモール扶桑店,愛知県丹羽郡扶桑町南山名高塚5番地イオンモール扶桑2階
楽市楽座砂津店,福岡県北九州市小倉北区砂津3-1-1チャチャタウン小倉B棟3F
西友川西ゲームパーク,兵庫県川西市栄町１６−８
遊楽舎　姫路花田店,兵庫県姫路市花田町上原田２−１ビッグエムワン2F
遊楽館ジョイフル,宮城県気仙沼市田中前３−８−１２
ＡｍｕｓｅｍｅｎｔｃｉｔｙＧ−ＳＴＡ,鹿児島県薩摩川内市向田本町４９番
ＢＩＧＢＡＮＧ滝川,北海道滝川市東町１−８−１４
ＧＲＥＡ,愛知県名古屋市千種区今池５−２２−１７
ＧｉＧＯ秋葉原４号館,東京都千代田区外神田１−１５−９
Ｓｐｉｃａ大宮南銀店,埼玉県さいたま市大宮区仲町1-57
ＴＨＥ　３ＲＤ　ＰＬＡＮＥＴ　富士,静岡県富士市永田町２−９９
ＴＨＥ３ＲＤＰＬＡＮＥＴ下通り店,熊本県熊本市中央区手取本町４番１２号
ｎａｍｃｏゆめタウン佐賀店,佐賀県佐賀市兵庫北5-14-1ゆめタウン佐賀２階
ｎａｍｃｏゆめタウン光の森店,熊本県菊池郡菊陽町光の森7-39-1ゆめﾀｳﾝ光の森南館3階
ｎａｍｃｏイオンモール北戸田店,埼玉県戸田市美女木東１−３−１ｲｵﾝﾓｰﾙ北戸田ｼｮｯﾋﾟﾝｸﾞｾﾝﾀｰ内3F
ｎａｍｃｏイオンモール大高店,愛知県名古屋市緑区南大高2-450ｲｵﾝ大高3階
ｎａｍｃｏイオンモール姫路リバーシティー,兵庫県姫路市飾磨区細江2560イオンモール姫路RC2F
ｎａｍｃｏイオンモール鶴見緑地店,大阪府大阪市鶴見区鶴見４−１７−１鶴見緑地４階
ｎａｍｃｏイオンモールＫＹＯＴＯ店,京都府京都市南区西九条鳥居口町1ｲｵﾝﾓｰﾙKYOTO SAKURA館4階
ｎａｍｃｏエアポートウォーク名古屋店,愛知県西春日井郡豊山町大字豊場字林先１−８エアポートウォーク
ｎａｍｃｏエルムの街ショッピングセンター,青森県五所川原市大字唐笠柳字藤巻517-1ｴﾙﾑの街SC　本棟2階
ｎａｍｃｏカラフルタウン岐阜店,岐阜県岐阜市柳津町丸野３−３−６カラフルタウン岐阜内
ｎａｍｃｏマグスミノエ店,大阪府大阪市住之江区泉１−１−８２マグスミノエ１Ｆ
ｎａｍｃｏマークイズ福岡ももち店,福岡県福岡市中央区地行浜２−２−１マークイズ福岡ももち店４Ｆ
ｎａｍｃｏワンダーシティ南熊本店,熊本県熊本市中央区九品寺６−９−１
ｎａｍｃｏ巣鴨店,東京都豊島区巣鴨１−１５−１宮田ビルB2F
ｎａｍｃｏ札幌エスタ店,北海道札幌市中央区北5条西2-1-1札幌エスタ9F
ｎａｍｃｏ那覇メインプレイス店,沖縄県那覇市おもろまち4-4-9サンエー那覇メインプレイス２Ｆ
