第8弾「CHUNITHM SUN PLUS オリジナルグッズ,住所
ＢＩＧＢＡＮＧ北見店,北海道北見市中央三輪7丁目４４６−１
ディノスパーク帯広稲田,北海道帯広市稲田町南八線西12番地1 ｽｽﾞﾗﾝﾎﾞｳﾙ 1、2階
タイトーステーション 千歳店,北海道千歳市北栄２−１２−５
ディノスパーク札幌手稲,北海道札幌市手稲区前田1条11丁目 西友手稲店 3階
ディノスパーク室蘭,北海道室蘭市東町4丁目31番2号 1階
ディノスパーク帯広,北海道帯広市白樺16条西2丁目 ﾄﾞﾘｰﾑﾀｳﾝ白樺 1階
キャッツアイ新札幌店,北海道札幌市厚別区厚別東五条１ー２−１０
キャッツアイ清田店,北海道札幌市清田区清田１条１−２０−１
キャッツアイ新川店,北海道札幌市北区新川二条７丁目１ー７
キャッツアイ苫小牧駅前店,北海道苫小牧市木場町１丁目３番地２
キャッツアイ東苗穂店,北海道札幌市東区東苗穂６条２丁目１−２５
キャッツアイ恵庭店,北海道恵庭市住吉町２丁目９−１
キャッツアイミュンヘン大橋店,北海道札幌市豊平区平岸１条２３丁目８０１−１
マキシム・ヒーロー,北海道札幌市北区北六条西6丁目1-2
ｎａｍｃｏ札幌エスタ店,北海道札幌市中央区北5条西2-1-1札幌エスタ9F
キャッツアイ篠路店,北海道札幌市北区篠路１条４丁目６ー３０
SOYUGameField旭川西店,北海道旭川市緑町23-2161-3イオンモール旭川西3F
ディノスパーク苫小牧,北海道苫小牧市柳町3丁目1番20号 ｲｵﾝﾓｰﾙ苫小牧 2階
ｎａｍｃｏウイングベイ小樽店,北海道小樽市築港１１−５ウィングベイ小樽５番街３階
ＢＩＧＢＡＮＧ函館,北海道函館市梁川町９−３テキサスビル３Ｆ
ディノスパーク函館昭和,北海道函館市昭和3丁目24-18ｹﾞｵ函館昭和店 1階
イオン千歳　キッズパーク,北海道千歳市栄町６−６１
ラウンドワン函館店,北海道函館市西桔梗町８４８−１１
ラウンドワン旭川店,北海道旭川市永山三条１−４−７
ＢＩＧＢＡＮＧ室蘭,北海道室蘭市中島本町２−８−１
ディノスパーク北見店,北海道北見市西三輪5丁目1番地16号
ラウンドワン札幌北２１条店,北海道札幌市東区北二十一条東１−１−２１
ラウンドワン札幌白石本通店,北海道札幌市白石区本通１６丁目北１−５０
ベガジオ美しが丘店,北海道札幌市清田区美しが丘１条　７−６−１０
ＢＩＧＢＡＮＧ釧路,北海道釧路郡釧路町木場２−１
ソユーゲームフィールド発寒,北海道札幌市西区発寒8条12丁目1　イオン札幌発寒SC3F
ソユーゲームフィールド苗穂店,北海道札幌市東区東苗穂2条3-1-1　イオンモール札幌苗穂２Ｆ
ソユーゲームフィールド旭川駅前店,北海道旭川市宮下通７−２−５ｲｵﾝﾓｰﾙ旭川駅前４F
ラウンドワン札幌すすきの店,北海道札幌市中央区南五条西3-6-1
タイトーステーション札幌狸小路２丁目店,北海道札幌市中央区南３条西２丁目−１４
ゲームランド新さっぽろ,北海道札幌市厚別区中央２条５丁目７−３ カテプリさっぽろ３階
キャッツアイ静内店,北海道日高郡新ひだか町静内木場町２丁目１−４１
キャッツアイ宮の沢店,北海道札幌市手稲区西宮の沢５条２丁目１１−１５
イオン紋別　キッズパーク,北海道紋別市花園3-4-39
ＧｉＧＯ八戸,青森県八戸市城下４−２５−１４
ＧｉＧＯ弘前,青森県弘前市末広１−３−３
ゲームフェスタミタマ店,青森県弘前市駅前町5-5
ソユースペースファンタジーインフィニ,青森県弘前市城東北３−１０−１さくら野百貨店弘前店４Ｆ
ユーズランド下田店,青森県上北郡おいらせ町中野平４０−１イオンモール下田１Ｆ
ゲームランドつがる柏店,青森県つがる市柏稲盛幾世41イオンモールつがる柏2F
ラウンドワン青森店,青森県青森市浜田３−１−１
ソユーゲームフィールド青森店,青森県青森市浜田1-14-1イトーヨーカドー青森店2F
ソユーゲームフィールド八戸店,青森県八戸市沼館4-7-112八戸ピアドゥＢ棟2F
ＢＩＮＧＯ一関,岩手県一関市山目字中野９２−１
ＧｉＧＯ水沢,岩手県奥州市水沢区佐倉河字鎧田４−１
タイトーステーション 盛岡マッハランド店,岩手県盛岡市上堂１−２−３８マッハランド内
ゲームランド盛岡店,岩手県盛岡市前潟４−７−１イオンモール盛岡２Ｆ
アミューズメントゾーン北上店,岩手県北上市本通2-2-1さくら野北上店4F
Ｇ３ポロスイオンタウン北上店,岩手県北上市里分四地割２０番地１
ラウンドワン盛岡店,岩手県盛岡市盛岡駅西通２−１０−３５
ソユーファミリーゲームフィールド花巻店,岩手県花巻市高木第１６地割６８−６　銀河モール１Ｆ
サンシャイン,岩手県盛岡市大通２ー７ー２１ジュリアンビル１階
ソユーゲームフィールド盛岡南,岩手県盛岡市本宮7-1-1ｲｵﾝﾓｰﾙ盛岡南1F
ソユーゲームフィールド釜石店,岩手県釜石市港町２−１−１イオンタウン釜石店３F
ＧｉＧＯ佐沼,宮城県登米市迫町佐沼字中江２−５−８
ＧｉＧＯ名取,宮城県名取市飯野坂字土城堀５７−１
タイトーステーション仙台名掛丁店,宮城県仙台市青葉区中央１−７−１３
ゲームコーナー東部,宮城県仙台市若林区六丁の目中町26-60 斎喜東部ビル2F
タイトーステーション 仙台クリスロード店,宮城県仙台市青葉区中央２−３−２５
ＧｉＧＯ石巻,宮城県石巻市大街道東４−１−４５
THE 3RD PLANET BiVi仙台店,宮城県仙台市宮城野区榴岡2-1-25
タイトーステーション 仙台ベガロポリス店,宮城県仙台市太白区西多賀５−２４−１ベガロポリス内
ｎａｍｃｏイオンモール名取店,宮城県名取市杜せきのした5-3-1イオンモール名取2F
プラサカプコン石巻店,宮城県石巻市茜平4丁目104番地 ｲｵﾝ石巻ｼｮｯﾋﾟﾝｸﾞｾﾝﾀｰ2F
ビーカム松森店,宮城県仙台市泉区松森字斎兵衛５８−１
ゲームランド佐沼店,宮城県登米市南方町新島前４６−１イオンタウン佐沼ＳＣ
ラウンドワン仙台苦竹店,宮城県仙台市宮城野区苦竹１−７−１０
スーパーノバ仙台利府,宮城県宮城郡利府町加瀬字新前谷地５５−１
ＧＡＭＥＢＡＮＫ仙台泉店,宮城県仙台市泉区大沢２−５−４
ＧｉＧＯ仙台コロナワールド,宮城県仙台市宮城野区福室字田中前１番５３−１
ゲームフィールド仙台長町店,宮城県仙台市太白区長町７丁目２０番３号ザ・モール仙台長町店３階
スーパーノバイオン仙台中山,宮城県仙台市泉区南中山１−３５−５７別館３Ｆ
ＧｉＧＯ仙台,宮城県仙台市青葉区中央２−５−５三経６０ビル
ＳＯＹＵ　ＧＡＭＥ　ＦＩＥＬＤ古川店,宮城県大崎市古川沢田字筒場浦１５番地イオンタウン古川内
アピナ新利府　北館店,宮城県宮城郡利府町利府字新屋田前２２イオンモール新利府北館２
スーパーノバ仙台一番町,宮城県仙台市青葉区一番町４丁目５番１３号サンシャインビル１階
ＳＯＹＵＧａｍｅＦｉｅｌｄ矢本店,宮城県東松島市小松字上浮足４３番地イオンタウン矢本
ＧｉＧＯ秋田,秋田県秋田市茨島１−１−１６
SOYUGameField御所野店,秋田県秋田市御所野地蔵田1-1-1イオンモール秋田2F
ｎａｍｃｏイオンタウン大館西店,秋田県大館市根下戸新町18-121イオンタウン大館西内
ラウンドワン秋田店,秋田県秋田市卸町１−１−２
プラサカプコン大曲店,秋田県大仙市和合字坪立１７７イオン大曲ＳＣ２Ｆ
プレイランドソピアいとくアクロス能代店,秋田県能代市字寺向70いとくアクロス能代店内
ゲームフィールド十文字店,秋田県横手市十文字町仁井田字東22-1スーパーモールラッキー内
G3ポロス横手南店,秋田県横手市婦気大堤字中田4-1ｲｵﾝｽｰﾊﾟｰｾﾝﾀｰ横手南店2階
ゲームフィールド鷹巣店,秋田県北秋田市栄字前綱76　いとく鷹巣SC内
ＳＯＹＵＧａｍｅＦｉｅｌｄ能代店,秋田県能代市鰄渕字古屋布１番イオンタウン能代内
ＳＯＹＵＧａｍｅＦｉｅｌｄ大館店,秋田県大館市御成町三丁目７番５８号いとく大館ＳＣ３階
ＧｉＧＯ北山形,山形県山形市北町１−３−２０
ＧｉＧＯ米沢,山形県米沢市大字花沢字タナコ原１７７
スーパーノバ天童,山形県天童市南町1-5-26
ビーカム成沢店,山形県山形市成沢西５−３−２７
ソユーゲームフィールド三川店,山形県東田川郡三川町大字猪子字和田庫１２８−１イオン三川１Ｆ
トレジャー新庄店,山形県新庄市金沢沖１０６８
ＧｉＧＯ庄内,山形県東田川郡三川町猪字大堰端３２６番地６
アピナ鶴岡店,山形県鶴岡市文下字広野１−１
ソユーゲームフィールド天童店,山形県天童市芳賀タウン北４−１−１ イオンモール天童２Ｆ
