キャッツアイ新札幌,北海道札幌市厚別区厚別東五条1-1-10
キャッツアイ恵庭,北海道恵庭市住吉町2丁目9-1
ＢＩＧＢＡＮＧ釧路,北海道釧路郡釧路町木場2-1
SOYUGameField旭川西,北海道旭川市緑町23-2161-3イオンモール旭川西3F
ソユーゲームフィールド旭川駅前,北海道旭川市宮下通7-2-5イオンモール旭川駅前4F
ラウンドワン旭川,北海道旭川市永山三条1-4-7
ゲームランドつがる柏,青森県つがる市柏稲盛幾世41イオンモールつがる柏2F
キラキラAsobox平賀,青森県平川市小和森上松岡193-1F イオンタウン平賀店内
セガ八戸,青森県八戸市城下4-25-14
ソユーゲームフィールド八戸,青森県八戸市沼館4-7-112八戸ピアドゥB棟2F
タイトーＦステーション八戸,青森県八戸市三日町27
ラウンドワン青森,青森県青森市浜田3-1-1
ソユーゲームフィールド青森,青森県青森市浜田1-14-1イトーヨーカドー青森店2F
青森メトロポリス,青森県青森市三好1-15-8
ユーズランド下田,青森県上北郡おいらせ町中野平40-1イオンモール下田1F
セガ弘前,青森県弘前市末広1-3-3
ソユースペースファンタジーインフィニ,青森県弘前市城東北3-10-1さくらの弘前店4F
ゲームフェスタミタマ,青森県弘前市駅前町5-5
Ｇ３ポロスイオンタウン北上,岩手県北上市里分四地割20番地1
アミューズメントゾーン北上,岩手県北上市本通2-2-1さくら野北上店4F
チャットタウン北上,岩手県北上市北鬼柳19地割71番地外　パルSC
MS北上,岩手県北上市村崎野14-68-32
ソユーゲームフィールド盛岡南,岩手県盛岡市本宮7-1-1イオンモール盛岡南1F
サンシャイン,岩手県盛岡市大通2-7-21ソレントビル1F
ゲームランド盛岡,岩手県盛岡市前潟4-7-1イオンモール盛岡2F
ラウンドワン盛岡,岩手県盛岡市盛岡駅西通2-10-35
タイトーステーション 盛岡マッハランド,岩手県盛岡市上堂1-2-38マッハランド内
ソユーゲームフィールド釜石,岩手県釜石市港町2-1-1イオンタウン釜石店
ソユーファミリーゲームフィールド花巻,岩手県花巻市高木第16地割68-6　銀河モール1F
セガ水沢,岩手県奥州市水沢区佐倉河字鎧田4-1
ＢＩＮＧＯ一関,岩手県一関市山目字中野92-1
スーパーノバ仙台利府,宮城県宮城郡利府町加瀬字新前谷地55-1
セガ名取セッツウイングス,宮城県名取市飯野坂字土城堀57-1
namcoイオンモール名取,宮城県名取市杜せきのした5-3-1イオンモール名取2F
セガワールド佐沼,宮城県登米市迫町佐沼字中江2-5-8
ゲームランド佐沼,宮城県登米市南方町新島前46-1イオンタウン佐沼SC
キラキラＡｓｏｂｏｘ古川,宮城県大崎市古川沢田筒場浦15　イオンタウン2F
SOYU GAME FIELD古川,宮城県大崎市古川沢田字筒場浦15番地イオンタウン古川内
セガワールド古川,宮城県大崎市古川城西15
ＭＳ多賀城,宮城県多賀城市明月1-168-1
ゲームフィールド仙台長町,宮城県仙台市太白区長町7丁目20番3号ザ・モール仙台長町店3階
タイトーステーション 仙台ベガロポリス,宮城県仙台市太白区西多賀5-24-1ベガロポリス内
スーパーノバイオン仙台中山,宮城県仙台市泉区南中山1-35-57別館3F
ビーカム松森,宮城県仙台市泉区松森字斎兵衛58-1
セガ仙台,宮城県仙台市青葉区中央2-5-5
タイトーステーション 仙台クリスロード,宮城県仙台市青葉区中央2-3-25
タイトーステーション 仙台名掛丁,宮城県仙台市青葉区中央1-7-13
仙台レジャーランド一番町,宮城県仙台市青葉区一番町4-3-27ガリレア一番町ビル1F～3F
