shop,adress,map
ゲームコーナー東部,宮城県仙台市若林区六丁の目中町26-60 斎喜東部ビル2F,"38.25099848897897 140.94393691534424"
ＧＡＭＥＢＡＮＫ仙台泉店,宮城県仙台市泉区大沢２−５−４,"38.3527525 140.877403"
ＧｉＧＯイオン仙台中山,宮城県仙台市泉区南中山１−３５−５７別館３Ｆ,"38.297896075869346 140.8270834629517"
ゲームフィールド仙台長町店,宮城県仙台市太白区長町７丁目２０番３号ザ・モール仙台長町店３階,"38.2259896 140.8767364"
ＧｉＧＯ仙台コロナワールド,宮城県仙台市宮城野区福室字田中前１番５３−１,"38.26020937916718 140.96935844274867"
THE 3RD PLANET BiVi仙台店,宮城県仙台市宮城野区榴岡2-1-25,"38.26101273020553 140.88374967301638"
ラウンドワン仙台苦竹店,宮城県仙台市宮城野区苦竹１−７−１０,"38.2680832 140.9172451"
ユーズランド大河原店,宮城県柴田郡大河原町小島2-1フォルテ2F,"38.0656136 140.7373892"
ＧｉＧＯ名取,宮城県名取市飯野坂字土城堀５７−１,"38.15656150910931 140.8883653619713"
ＧｉＧＯ石巻,宮城県石巻市大街道東４−１−４５,"38.429407687062785 141.2853677773155"
ＧｉＧＯ仙台利府,宮城県宮城郡利府町加瀬字新前谷地５５−１,"38.3280286 140.9756113"
ＧｉＧＯ佐沼,宮城県登米市迫町佐沼字中江２−５−８,"38.690444877318974 141.18911814232786"
ゲームランド佐沼店,宮城県登米市南方町新島前４６−１イオンタウン佐沼ＳＣ,"38.682591540449216 141.18392478042597"
ＳＯＹＵ　ＧＡＭＥ　ＦＩＥＬＤ古川店,宮城県大崎市古川沢田字筒場浦１５番地イオンタウン古川内,"38.5990232 140.9741564"
アピナ富谷店,宮城県富谷市大清水１丁目３３‐１　１０９シネマズ富谷１階,"38.3648779 140.8752317"
ＳＯＹＵＧａｍｅＦｉｅｌｄ御所野店,秋田県秋田市御所野地蔵田１ー１−１イオンモール秋田２Ｆ,"39.66341429285994 140.1610980386231"
ＧｉＧＯ秋田,秋田県秋田市茨島１−１−１６,"39.70423417527011 140.10458925767216"
ラウンドワン秋田店,秋田県秋田市卸町１−１−２,"39.70203189065408 140.1094121037048"
ＳＯＹＵＧａｍｅＦｉｅｌｄ大館店,秋田県大館市御成町三丁目７番５８号いとく大館ＳＣ３階,"40.2808817 140.5603404"
ゲームフィールド十文字店,秋田県横手市十文字町仁井田字東22-1スーパーモールラッキー内,"39.21611388765554 140.52105511415562"
G3ポロス横手南店,秋田県横手市婦気大堤字中田4-1ｲｵﾝｽｰﾊﾟｰｾﾝﾀｰ横手南店2階,"39.29522403515897 140.55225130845952"
プレイランドソピアいとくアクロス能代店,秋田県能代市字寺向70いとくアクロス能代店内,"40.1828157 140.0534784"
ＳＯＹＵＧａｍｅＦｉｅｌｄ能代店,秋田県能代市鰄渕字古屋布１番イオンタウン能代内,"40.1888271 140.0775041"
プラサカプコン大曲店,秋田県大仙市和合字坪立１７７イオン大曲ＳＣ２Ｆ,"39.4385014 140.5088973"
ゲームフィールド鷹巣店,秋田県北秋田市栄字前綱76　いとく鷹巣SC内,"40.232598 140.3800876"
モーリーファンタジー本荘,秋田県由利本荘市石脇田中１３８番地,"39.3915017 140.0274931"
ＧｉＧＯ北山形,山形県山形市北町１−３−２０,"38.268249140541215 140.33135098836055"
パルケ・デ・アミーゴ！山形店,山形県山形市嶋北１−３−１,"38.2836662 140.3216001"
アピナ鶴岡店,山形県鶴岡市文下字広野１−１,"38.7581391693968 139.84438268843223"
ＧｉＧＯ天童,山形県天童市南町１−５−２６,"38.3429386 140.3741282"
ソユーゲームフィールド天童店,山形県天童市芳賀タウン北４−１−１ イオンモール天童２Ｆ,"38.344908866929615 140.36403914022821"
ＧｉＧＯ米沢,山形県米沢市大字花沢字タナコ原１７７,"37.91093651673036 140.1336701841002"
ＧｉＧＯ新庄,山形県新庄市金沢１０６８,"38.7646694 140.3084662"
ＧｉＧＯ庄内,山形県東田川郡三川町猪字大堰端３２６番地６,"38.819637573498404 139.83486435709676"
ソユーゲームフィールド三川店,山形県東田川郡三川町大字猪子字和田庫１２８−１イオン三川１Ｆ,"38.81595693815604 139.83545801551793"
ゲームプラザＡＧＳ,福島県郡山市西ノ内２−１１−４０イトーヨーカドー郡山店４Ｆ,"37.4074284 140.3641831"
タイトーＦ郡山オリエントパーク店,福島県郡山市安積町荒井字大久保３５−１,"37.3744762 140.3487551"
ｎａｍｃｏイオンタウン郡山店,福島県郡山市松木町２−８８イオンタウン郡山内,"37.38929581959281 140.39067530450745"
ＧｉＧＯ日和田,福島県郡山市日和田町字西中島７−１,"37.44820074117053 140.3804128220902"
ラウンドワン郡山店,福島県郡山市向河原町４−５５,"37.4023215 140.395636"
タイトーＦステーション 郡山アティ店,福島県郡山市駅前１−１６−７郡山アティ７Ｆ,"37.39701079737328 140.38750589510653"
ＧｉＧＯ福島南,福島県福島市黒岩字中島７−２,"37.7277789 140.4671413"
サープラ福島あそびタウン,福島県福島市栄町１−１　パワーシティーピボット内,"37.75427337726991 140.4601862816147"
ＨａｐｉｐｉＬａｎｄ福島店,福島県福島市鎌田舟戸前１４−１ドン・キホーテ福島店内,"37.7903622 140.4890917"
ＧｉＧＯ福島,福島県福島市本内中井１−２,"37.785228678064314 140.48751231779102"
ラウンドワン福島店,福島県福島市太田町14-18,"37.752549134228815 140.45613065767213"
プレビ　鹿島エブリア店,福島県いわき市鹿島町米田字日渡5 鹿島エブリア店2階,"36.99372904670128 140.9051074957008"
ＧｉＧＯ勿来,福島県いわき市勿来町四沢字鍵田１３,"36.88907200458248 140.78456335767214"
ＧｉＧＯ小名浜,福島県いわき市小名浜林城字塚前１８−１,"36.985930372489236 140.89713489999997"
嶺宝スポーツセンター,福島県いわき市小名浜住吉折返２−２,"36.9742494549186 140.89055803254087"
ソユーゲームフィールド小名浜店,福島県いわき市小名浜字辰巳町７９イオンモールいわき小名浜３Ｆ,"36.9468192 140.9037941"
ドリームファクトリーいわき店,福島県いわき市中央台飯野4-1,"37.0124699 140.9165912"
ＧｉＧＯ会津若松,福島県会津若松市町北町上荒久田字宮下１４２,"37.518311487164766 139.9221731306884"
ＧｉＧＯ白河,福島県白河市新高山１−１　メガステージ白河内,"37.119316278493336 140.19441793313524"
ゲームスペースA-3,福島県西白河郡西郷村字豊作西15-16-17,"37.124556 140.182612"
ＳＯＹＵ　Ｅ−ＳＴＵＤＩＯ須賀川店,福島県須賀川市古河１０５イオンタウン須賀川Ｂ棟内,"37.2984206 140.3852977"
ＧｉＧＯ水戸,茨城県水戸市宮町１−７−４４コムボックス３１０,"36.3694663 140.4745213"
