NESiCAxLive2,住所
遊ランド　春光店,北海道旭川市春光１条７丁目２番２５号
ギャラクシーゲート星が浦,北海道釧路市星が浦大通２−５
キャッツアイ新札幌店,北海道札幌市厚別区厚別東五条１丁目２−１０
キャッツアイ東苗穂店,北海道札幌市東区東苗穂六条２丁目１−２５
ＭＡＸＩＭ　ＨＥＲＯ,北海道札幌市北区北六条西６丁目　鉄道高架下
タイトーステーション 千歳店,北海道千歳市北栄２－１２－５
ディノスパーク帯広,北海道帯広市白樺１６条西２丁目　ドリームタウン白樺内
ディノスパーク苫小牧,北海道苫小牧市柳町３丁目１番２０号
タイトーＦステーション八戸店,青森県八戸市三日町２７
ＧｉＧＯ八戸,青森県八戸市城下４－２５－１４
ＢＩＮＧＯ一関,岩手県一関市山目字中野９２−１
テクノワールド,岩手県奥州市江刺愛宕１２７−１
バギバギ宮古店,岩手県宮古市新川町３−１７
ＧｉＧＯ石巻,宮城県石巻市大街道東４－１－４５
ゲームコーナー東部,宮城県仙台市若林区六丁の目中町２６−６０　斎喜東部ビル
タイトーステーション 仙台クリスロード店,宮城県仙台市青葉区中央２－３－２５
ビーカム松森店,宮城県仙台市泉区松森字斉兵衛５８−１
ＧＡＭＥ　ＢＡＮＫ　仙台泉店,宮城県仙台市泉区大沢２丁目５−４
スーパーノバ　イオン仙台中山,宮城県仙台市泉区南中山１丁目３５－５７　イオン仙台中山店　別館３階
タイトーステーション 仙台ベガロポリス店,宮城県仙台市太白区西多賀５－２４－１　ベガロポリス内
ＧｉＧＯ秋田,秋田県秋田市茨島１－１－１６
パルケデアミーゴ！,山形県山形市嶋北１−３−１
アピナ鶴岡店,山形県鶴岡市文下広野１−１
スーパーノバ天童,山形県天童市南町１丁目５番２６号
ドリームファクトリーいわき店,福島県いわき市中央台飯野４−１
アミューズパーク郡山,福島県郡山市安積町日出山２−８０
ゲームスペースＡ−３店,福島県西白河郡西郷村豊作西１５−１６−１７
ＧｉＧＯ福島,福島県福島市本内中井１－２
ゲームメガみらい平店,茨城県つくばみらい市陽光台１−１４−１　ＴＸみらい平駅前ピアシティー内
アミューズ　ビバ,茨城県ひたちなか市東大島２−１１−１１
ゲームパドック＋１古河店,茨城県古河市小堤１９１６番地１
アピナ下館店,茨城県筑西市玉戸１０１２−３
ゲームパニックつくば,茨城県土浦市中村東１−１−１
ゲームメガ日立店,茨城県日立市東多賀町５−１０−１０
ＩＮＴＥＲ　ＰＡＲＫ　＋１　宇都宮店,栃木県宇都宮市インターパーク６丁目５番地１
アミューズメント　ヒカリ,栃木県宇都宮市江野町７−１３　プラザヒカリ　１Ｆ
スコナランド　宇都宮店,栃木県宇都宮市馬場通り２−３−１２　ＭＥＧＡドンキホーテ　ラパーク宇都宮　Ｂ１Ｆ
ｎａｍｃｏ宇都宮店,栃木県宇都宮市簗瀬町１６０６−１　Ｐ＆Ｄビル２Ｆ
ｎａｍｃｏフェドラＰ＆Ｄ佐野店,栃木県佐野市高萩町１３４０番地
アピナ小山店,栃木県小山市駅南町４−２７−１８
ドラマ足利店,栃木県足利市朝倉町２４４−１
大田原スポーツランド,栃木県那須塩原市一区町１０４−６０
群馬レジャーランド伊勢崎店,群馬県伊勢崎市連取町３０６６−１
群馬レジャーランド高崎駅東口店,群馬県高崎市江木町３３３−１　高崎ＥＸビル２Ｆ
群馬レジャーランド渋川店,群馬県渋川市八木原１３６４
ゲームパークＭ−１,群馬県前橋市国領町２−１３−６
群馬レジャーランド太田店,群馬県太田市西矢島町１６２番地２
アピナ太田店,群馬県太田市内ケ島町９０７−１
群馬レジャーランド藤岡店,群馬県藤岡市中２００２−１
アミューズメントクラブ浦和,埼玉県さいたま市浦和区仲町１−１０−７
ウェアハウス岩槻店,埼玉県さいたま市岩槻区加倉３−３−６３
ウェアハウス三橋店,埼玉県さいたま市西区三橋６−９５５−１
タイトーステーション 大宮店,埼玉県さいたま市大宮区大門町１丁目１番地１　ミナトビル１～３Ｆ
ビッグワンセカンド,埼玉県さいたま市南区南浦和２−２７−１２　アビアントビル２Ｆ
ＡＭフィールド・バイヨン,埼玉県ふじみ野市うれし野２丁目１６番１号　ＬＣモールうれし野２階
プラサカプコン羽生店,埼玉県羽生市川崎２−２８１−３　イオンモール羽生２Ｆ
キャロム坂戸店,埼玉県坂戸市関間２−１５１−１
アピナ上尾店,埼玉県上尾市緑丘３−３−１１−２　ＰＡＰＡ上尾ショッピングアベニュー　プリンセス棟別棟
ＶＧＭロボット深谷店,埼玉県深谷市上柴町西４−１２−１
ウェアハウス草加店,埼玉県草加市稲荷２−３６−３３
ゲームファクトリーマグマ草加,埼玉県草加市氷川町２１２５−１
ＧｉＧＯ入間,埼玉県入間市東藤沢２－１８
嵐山ドライブイン,埼玉県比企郡嵐山町志賀１８２２
ムー大陸　本庄店,埼玉県本庄市本町１０１９−１
タイトーステーション 旭サンモール店,千葉県旭市イ２６７６－１サンモール３Ｆ
ラッキー佐倉店,千葉県佐倉市井野１４７５
ゲームチャリオット五井店,千葉県市原市五井中央西２－１－２
千葉レジャーランド稲毛店,千葉県千葉市稲毛区小仲台２−５−７　海宝ビル　２Ｆ
ラッキー中央店フェリシダ,千葉県千葉市中央区富士見２−８−１
アミューズメントエース津田沼,千葉県船橋市前原西２−１５−１　ファミービル１Ｆ～３Ｆ
タイトーステーション 船橋店,千葉県船橋市本町１－６－１
ゲームアルファ,千葉県柏市柏１−１−１１　ファミリかしわＢ１Ｆ
ラッキー八千代店,千葉県八千代市大和田新田１０８８
イスカンダル,千葉県木更津市潮見４−１−２
