店名,場所,"緯度と経度",GMAPでみる,ぐーぐるの住所
ユーズランド水戸内原店,茨城県水戸市内原２−１イオンモール水戸内原２Ｆ,"36.37454 140.3594193",https://www.google.com/search?q=36.37454+140.3594193,日本、〒319-0317 茨城県水戸市内原２丁目１
ピンクパンサー下妻店,茨城県下妻市小島884-10,"36.1707231 139.966577",https://www.google.com/search?q=36.1707231+139.966577,日本、〒304-0051 茨城県下妻市小島８８４−１０
ピンクパンサー水戸赤塚店,茨城県水戸市河和田1-1,"36.3813869 140.4147286",https://www.google.com/search?q=36.3813869+140.4147286,日本、〒311-4152 茨城県水戸市河和田１丁目１ フレスポ赤塚
ゲームメガみらい平店,茨城県つくばみらい市陽光台1-14-1,"35.9947257 140.0401302",https://www.google.com/search?q=35.9947257+140.0401302,日本、〒300-2358 茨城県つくばみらい市陽光台１丁目１４−１
ピンクパンサー日立店,茨城県日立市東多賀町5-10-10,"36.548234 140.6305081",https://www.google.com/search?q=36.548234+140.6305081,日本、〒316-0004 茨城県日立市東多賀町５丁目１０−１０
ピンクパンサー水戸けやき台店,茨城県水戸市酒門町3276-1,"36.3380923 140.4832447",https://www.google.com/search?q=36.3380923+140.4832447,日本、〒310-0841 茨城県水戸市酒門町３２７６−１ ピンクパンサーけやき台店
ピンクパンサー土浦店,茨城県土浦市木田余４５８５−３,"36.1065627 140.2153092",https://www.google.com/search?q=36.1065627+140.2153092,日本、〒300-0026 茨城県土浦市木田余４５８５−３
ゲームメガつくば店,茨城県つくば市小野崎１７７−２,"36.0769129 140.1047153",https://www.google.com/search?q=36.0769129+140.1047153,日本、〒305-0034 茨城県つくば市小野崎１７７−２ ピンクパンサーつくば店
ゲームパニックつくば,茨城県土浦市中村東1-1-1サンタスワールド内,"36.0465581 140.1682298",https://www.google.com/search?q=36.0465581+140.1682298,日本、〒300-0850 茨城県土浦市中村東１丁目１−１ サンタスワールド 3F
ｎａｍｃｏフェドラＰ＆Ｄ佐野店,栃木県佐野市高萩町１３４０,"36.2973422 139.6055292",https://www.google.com/search?q=36.2973422+139.6055292,日本、〒327-0821 栃木県佐野市高萩町１３４０
INTER PARK+1宇都宮,栃木県宇都宮市インターパーク６−５−１,"36.4881159 139.9055403",https://www.google.com/search?q=36.4881159+139.9055403,日本、〒321-0118 栃木県宇都宮市インターパーク６丁目５−１ スポーツアリーナインターパークプラスワン
ドラマ足利店,栃木県足利市朝倉町244-1,"36.3220374 139.4506518",https://www.google.com/search?q=36.3220374+139.4506518,日本、〒326-0823 栃木県足利市朝倉町２４４−１
ラウンドワン宇都宮店,栃木県宇都宮市江曽島町２０７２−１,"36.5406212 139.8867794",https://www.google.com/search?q=36.5406212+139.8867794,日本、〒321-0102 栃木県宇都宮市江曽島町２０７２−１
ゲームシティボストン,群馬県前橋市大友町3-7-3,"36.3889735 139.0449896",https://www.google.com/search?q=36.3889735+139.0449896,日本、〒371-0847 群馬県前橋市大友町３丁目７−３ アミューズメントスクエアゲームシティボストン
マトリクス前橋,群馬県前橋市小相木町５５８−１,"36.3727259 139.0592203",https://www.google.com/search?q=36.3727259+139.0592203,日本、〒371-0831 群馬県前橋市小相木町５５８−１ 快活ＣＬＵＢ新前橋店
アピナ太田店,群馬県太田市内ケ島町９０７−１,"36.2829407 139.3984028",https://www.google.com/search?q=36.2829407+139.3984028,日本、〒373-0813 群馬県太田市内ケ島町９０７−１ アピナ太田店バッティングスタジアムオオタ
ユーズランド高崎店,群馬県高崎市棟高町１４００番地イオンモール高崎２Ｆ,"36.3906591 139.0068085",https://www.google.com/search?q=36.3906591+139.0068085,日本、〒370-3521 群馬県高崎市棟高町１４００
群馬レジャーランド伊勢崎店,群馬県伊勢崎市連取町3066-1,"36.31808 139.1724806",https://www.google.com/search?q=36.31807999999999+139.1724806,日本、〒372-0812 群馬県伊勢崎市連取町３０６６−１ お宝鑑定館伊勢崎店
群馬レジャーランド高崎駅東口店,群馬県高崎市江木町３３３−１高崎ＥＸビル,"36.3298891 139.0128606",https://www.google.com/search?q=36.3298891+139.0128606,日本、〒370-0046 群馬県高崎市江木町３３３−１ ＥＸビル
群馬レジャーランド渋川店,群馬県渋川市八木原1364,"36.4740155 139.0153393",https://www.google.com/search?q=36.4740155+139.0153393,日本、〒377-0003 群馬県渋川市八木原１３６４
アミューズメントクラブ浦和,埼玉県さいたま市浦和区仲町1-10-7,"35.8602772 139.6535191",https://www.google.com/search?q=35.8602772+139.6535191,日本、〒330-0062 埼玉県さいたま市浦和区仲町１丁目１０−７ 尾張屋第１ビル
ビデオゲームミュージアムロボット深谷店,埼玉県深谷市上柴町西４−１２−１,"36.1796586 139.2987796",https://www.google.com/search?q=36.1796586+139.2987796,日本、〒366-0052 埼玉県深谷市上柴町西４丁目１２−１
シルクハット　川口,埼玉県川口市栄町３−１−１６イート川口ビル４Ｆ,"35.8028882 139.7175464",https://www.google.com/search?q=35.8028882+139.7175464,日本、〒332-0017 埼玉県川口市栄町３丁目１−１６ イート川口
タイトーステーション 大宮店,埼玉県さいたま市大宮区大門町１−１,"35.9057973 139.6252436",https://www.google.com/search?q=35.9057973+139.6252436,日本、〒330-0845 埼玉県さいたま市大宮区仲町１丁目１
