name,loc_id,address,pcb_count
"ユーズランド東浦","l8RKKMo7m7zzVon0E1mOiw","愛知県 知多郡東浦町 大字緒川字旭 13-2　イオンモール東浦2F","18"
"コムテックタワー","F7ljdxdhKJx1C3ESSTcUXw","愛知県 名古屋市中村区 名駅 4-10-20","16"
"タイトーステーションフェドラ大須","sCDewv3uX1El61Xv5vvVxw","愛知県 名古屋市中区 大須 3-30-31　萬松寺駐車場ビル1・2F","14"
"ラウンドワンスタジアム中川1号線","kJ96BZIgAgy3qLH5CIEvXw","愛知県 名古屋市中川区 法蔵町 2-23","14"
"豊川メトロポリス","2KDJ_WbwTTgLhvmZt2ifuw","愛知県 豊川市 下長山町上アライ 14-1","14"
"M'sPARK豊田","eqdGKTa5ep0JrNzZU8uHrA","愛知県 豊田市 寿町 3-21・22　トヨタグランドビル","14"
"ゲームアルカナ","tDl95pZUkUp57dQR6H-QLw","愛知県 稲沢市 朝府町 2-33","14"
"GiGO 長久手","2WN0sxkV7WgyK-1oGTRy4g","愛知県 長久手市 武蔵塚 705","14"
"ファンタジープラザ名古屋","lpod1NXrZ-3eyHzdqKwneA","愛知県 名古屋市北区 玄馬町 234-1　CROSS TOWN　ドン・キホーテ名古屋本店2F","13"
"GiGO 金山","3-ORBrPCdQ-h4VpI8Mycsg","愛知県 名古屋市熱田区 金山 1-19-2","13"
"コムテックスクウェア","cQRctRLqvj0NWvr-r5EluQ","愛知県 名古屋市中区 金山 1-16-8","12"
"GiGO 北岡崎","LBsjRSAKCdJtOP0xJkQ9Ag","愛知県 岡崎市 錦町 2-4","12"
"楽市楽座022楽市街道名古屋","xOTLqtgkZ_EJmpjwdug8OA","愛知県 北名古屋市 中之郷字神明 45-1","12"
"ラウンドワン千種","ZujUSFrVKFgkq1A0AMyMMA","愛知県 名古屋市千種区 新栄 3-20-17　タイホウ千種駅南ビル8F","11"
"ラウンドワンスタジアム豊橋","pKV8Q4SNthazlUGAKd1ENg","愛知県 豊橋市 大岩町字岩田 27-2","11"
"ADXマミー岡崎","WjOKnaPt8-R61FKbJJgF3w","愛知県 岡崎市 井田新町 6-1","11"
"M'sPARK刈谷","sGJo2Mn_qYmmXOU6jzdQUw","愛知県 刈谷市 稲場町 3-206","11"
"アピナ名古屋栄","Q_X3pEIII3-m3kW_i38Nxw","愛知県 名古屋市中区 錦 3-17-15　ドン・キホーテ栄本店B1～B3F","10"
"ADXマミー春日井出川","tiMo5EyxANaZnbAgkDHJ6Q","愛知県 春日井市 不二ガ丘 1-5","10"
"アミューズメントワールド メトロポリス小牧","xtFV-Iy3I_je8Z46EfUO4Q","愛知県 小牧市 間々片山 181-1","10"
"BOX.Q3","zicp5wrJUK5nlaer-615Ag","愛知県 名古屋市中村区 則武 1-16-8　第1コーポ1F","9"
"ラウンドワン鳴海","J-9x32E0AllCyaFN4QI7FA","愛知県 名古屋市緑区 鳴海町字杜若 28","9"
"ゲームランド岡崎","niqSaLiggk5aCUH1Fod82Q","愛知県 岡崎市 戸崎町字外山 38-5　イオンモール岡崎シネマ館3F","9"
"半田メトロポリス","TXNQWyvy2gin3J0IKpic3A","愛知県 半田市 旭町 3-11-1","9"
"ラウンドワンスタジアム半田","auvseEKrmb62d-DqdpXXaA","愛知県 半田市 瑞穂町 6-7-8","9"
"GiGO 春日井","FGp4SEhB9nT2NkBaS_X5wA","愛知県 春日井市 岩野町 4180","9"
"アミューズメントプラザマルシン","0Dm-DivhDrM259mDKT92_A","愛知県 刈谷市 池田町 4-609","9"
"ポート24幸田","dAPkzhiuW-QbcFE0N7b-0g","愛知県 額田郡幸田町 高力字沖原 15　カメリアガーデン幸田内","9"
"GIGO マーケットスクエアささしま","-VKb5bpF1YJYJW5jKvAjtw","愛知県 名古屋市中村区 平池町 4-60-14　マーケットスクエアささしま1F","7"
"GiGO 豊橋飯村","2XbCctfme1gFxSAgJpaLMw","愛知県 豊橋市 飯村町西山 25-121","7"
"ゲームコング","kbsa6IUnHw_xIDtBALKJkQ","愛知県 豊田市 広路町 2-20","7"
"GiGO 豊田","utvRw5zMR8QOEKzMOGQA5g","愛知県 豊田市 深田町 1-65-1","7"
"アミューズメントプラザワイド","zlilUZsLgDtlrXdC6g71wA","愛知県 東海市 名和町二番割上 16-2","7"
"ダイナソアエイジ","br2w31JxPfqeiMYX5K9Gnw","愛知県 大府市 東新町 3-88","7"
"ラウンドワンスタジアム名古屋西春","4jQbSFy9ko3cDfx8mjIeow","愛知県 北名古屋市 宇福寺神明 15","7"
"モーリーファンタジーf 新瑞橋","yqtry2mo9dZlIHOxc_BNjw","愛知県 名古屋市南区 菊住 1-7-10　イオンモール新瑞橋　イオン新瑞橋店3F","5"
"ポート24八事","ryUH1onBwK6PMVgJEm1w-Q","愛知県 名古屋市昭和区 広路町北石坂 102-4　1F","5"
"プラサカプコン徳重","K2mljTuYK1p_b7UccDHAiQ","愛知県 名古屋市緑区 鳴海町 字徳重18-44　ヒルズウォーク徳重ガーデンズ　ガーデンズ棟2F","5"
"GiGO 岡崎","JJUKFKxqqu8AKFeYiXrzbg","愛知県 岡崎市 上地 3-50-4","5"
"GiGO 尾西","uK9YXuilCH5wCvHvAXAEaw","愛知県 一宮市 篭屋 3-9-7　アソビックスびさい1F","5"
