name,loc_id,address,pcb_count
"タイトーステーション丸亀","fQoRQn8H-BXv2Do_38qzlw","香川県 丸亀市 川西町南 1280-1　フジグラン丸亀バッハ棟2F","1"
"GiGO 丸亀","jEsxWCl6WZEY8jh0njdFsA","香川県 丸亀市 蓬莱町 56-1","1"
"ふぇすたらんど豊浜","URMtL_vaog32OrZuw9KYRA","香川県 観音寺市 豊浜町姫浜 1158-1　マルナカ豊浜店内","1"
"アミューズメントパークMG 志度","HAnb0-9ZZbGsEUqmn4AODw","香川県 さぬき市 志度 2431-1　フジ志度店別棟","1"
"ふぇすたらんど白鳥","tSTbhhETfd52sxwJ-fyRRQ","香川県 東かがわ市 白鳥 字城泉144-1　マルナカ白鳥店内","1"
"アミューズメントパークMG 土庄","0Awz1j81XFrhsG9QtP88TA","香川県 小豆郡 土庄町 半ノ池甲1360-10　マルナカ新土庄店内","1"
"ふぇすたらんど三木","hUiAAbYU-3bjwceXqf_WtQ","香川県 木田郡三木町 氷上 482-2　マルナカ三木店2F","1"
"ふぇすたらんど宇多津","hjf-R7hzWwls852g0PVC3g","香川県 綾歌郡宇多津町 宇多津町 2419-1　マルナカSC宇多津店内","1"
"スマイルパーク多度津","B96NC939bLzgxQX93yWaCg","香川県 仲多度郡多度津町 北鴨 2-10-1　イオンタウン多度津内","1"
"namcoパルティ・フジ西条玉津","U4WYsL9oBUuOHG6lf8za2A","愛媛県 西条市 玉津 564-1　フジ西条玉津店2F","4"
"アミューズメントパークMG 大街道","63SXqaJzyV37PzMkxI-AsQ","愛媛県 松山市 大街道 1-4-17","3"
"アミューズメントパークMGキスケ","thqiYQA14Ci5jNqZjYYoig","愛媛県 松山市 宮田町 4　キスケボックス内1F","3"
"namcoフジグラン松山","Vr9Nr79Omg7ru7gqJbasJQ","愛媛県 松山市 宮西 1-2-1　フジグラン松山4F","3"
"宮西スタジアムII","2x9YCxUn1fDRkjxgKr3jhQ","愛媛県 松山市 宮西 2-4-41","3"
"namcoフジグラン北宇和島","C_NnzRGTGZ-PaQIM_4i4rg","愛媛県 宇和島市 伊吹町甲 912-2　フジグラン北宇和島別棟","3"
