shop,address,count,shopid
ビッグバン釧路店,北海道釧路郡釧路町木場2－1－1 ビッグバン釧路店,4,shop_id=1778
ゲームランドつがる柏店,青森県つがる市柏稲盛幾世41 イオンモールつがる柏ショッピングセンター2F,2,shop_id=11363
PALOむつ店,青森県むつ市中央2-7-8 ,2,shop_id=2790
PALO五所川原店,青森県五所川原市大字唐笠柳字藤巻641番1 アクロスプラザ五所川原,2,shop_id=10074
GiGO八戸,青森県八戸市城下4-25-14 ,4,shop_id=3585
タイトーFステーション八戸店,青森県八戸市三日町27 ,2,shop_id=11813
ファンタジードーム八戸,青森県八戸市江陽２－１４－１ ラピア八戸別棟,4,shop_id=527
GiGO弘前,青森県弘前市末広1-3-3 セガワールドアクティバ,2,shop_id=3936
スペースファンタジー・インフィニ,青森県弘前市城東北3-10-1 さくら野百貨4階,2,shop_id=1063
タイトーステーション青森アムゼ店,青森県青森市緑３－９－２ イオン青森,2,shop_id=3088
ラウンドワンスタジアム青森店,青森県青森市浜田3-1-1 ラウンドワン青森,4,shop_id=6888
ユーズランド下田店,青森県上北郡おいらせ町中野平40-1 イオンモール下田内1F,6,shop_id=3679
PALO久慈店,岩手県久慈市長内町第30地割32-2 久慈ショッピングセンター1階,2,shop_id=9553
アミューズメントゾーン北上店,岩手県北上市本通り２丁目２－１ さくら野百貨北上４階,2,shop_id=5534
チャットタウン北上店,岩手県北上市鬼柳町19-68番地外 江釣子パルショッピングセンター,2,shop_id=5606
GiGO水沢,岩手県奥州市水沢区佐倉河字鐙田4-1 ,2,shop_id=5590
テクノワールド,岩手県奥州市江刺区愛宕字梁川127-1 ,2,shop_id=12530
ゲームランド盛岡店,岩手県盛岡市前潟4-7-1 イオンモール盛岡 2F,2,shop_id=11361
ソユーゲームフィールド盛岡南店,岩手県盛岡市本宮7－1－1 イオンモール盛岡南2F,2,shop_id=7372
タイトーFステーション盛岡南店,岩手県盛岡市津志田町2-1-77 ,3,shop_id=11812
タイトーステーション盛岡マッハランド店,岩手県盛岡市上堂１－２－３８ タイトーステーション盛岡マッハランド,2,shop_id=2906
ラウンドワンスタジアム盛岡,岩手県盛岡市盛岡駅西通2丁目10-35 ,2,shop_id=10744
ソユーファミリーゲームフィールド花巻店,岩手県花巻市高木第１６地割６８－６ 銀河モール花巻,2,shop_id=2375
ゲームランドプレーゴ金ヶ崎店,岩手県胆沢郡金ケ崎町三ケ尻荒巻165 イオンスーパーセンター金ケ崎店,2,shop_id=11367
GAMEBANK仙台泉,宮城県仙台市泉区大沢２－５－４ ＧＡＭＥＢＡＮＫ仙台泉,2,shop_id=6489
GiGOイオン仙台中山,宮城県仙台市泉区南中山1丁目35-57 別館3階 ,2,shop_id=10516
