shop,address,id,place
"G-SQUAREアピタ長久手","愛知県 長久手市 戸田谷 901-1　アピタ長久手店B1F","5y7eiFnSl4HcOKON79ESHA","35.172567 137.038271"
"G-SQUAREラクール飛騨高山","岐阜県 高山市 国府町金桶 41　スーパーセンターシマヤラクール飛騨高山店本館2F","BbX9Mjbs3ckYvvThyMuuIg","36.204209 137.222306"
"G-pala あべの","大阪府 大阪市阿倍野区 阿倍野筋 3-10-1　あべのベルタ2F","BVITlV95pyPx2_bibM1ofA","34.64226249 135.5114356"
"G-pala 出雲","島根県 出雲市 渡橋町 784-1","xEI0FjHX9AI6Ik0x4YCbnQ","35.366063 132.743424"
"G-pala 博多","福岡県 福岡市博多区 東光寺町 2-6-40　コマーシャルモール博多2F","MtGSUAlL8BgnVWl-v9h_MQ","33.576998 130.435958"
"G-pala 小倉","福岡県 北九州市小倉南区 上葛原 1-14-1","OfdJoCFcDPz_K096Sa0u9A","33.8395983 130.9112639"
"G-pala 日田","大分県 日田市 友田字萩鶴 986-1","OxeyBhQ3ljYV526-3w-Tcw","33.3258399 130.9116054"
"G-pala 時津","長崎県 西彼杵郡時津町 野田郷 59","ThGxvr3KAUuEjqJoZMV_yw","32.824355 129.847812"
"G-pala 花北","兵庫県 姫路市 増位新町 1-6　ヴィーナスタウン花北2F","5CGjduH69nK99yIKnlSY-g","34.856003 134.709354"
"G-stage七隈","福岡県 福岡市城南区 七隈 8-4-8","4aPaKAbewVno388Ij2kb9A","33.551233 130.364344"
"G-stage小倉","福岡県 北九州市小倉北区 浅野 2-14-5　あるあるCity2F","iiYL2VjRW3PvBU3uaHKchg","33.887542 130.88473"
"G-stage浜の町","長崎県 長崎市 浜町 2-26","RF3VVCffG8VSbXiHmkvhQw","32.744847 129.877542"
"G-stage飯塚","福岡県 飯塚市 枝国 680-2","WAg5B_diuOCWSRoLadbmOA","33.636487 130.676025"
"G3ポロスイオンタウン北上","岩手県 北上市 里分 4地割20-1　イオンタウン北上内","OoqwswHGl9FzduDUPNjz3g","39.29485262 141.1339572"
"G3ポロス原町","福島県 南相馬市 原町区北原字本屋敷 188","oAmUMP8Ln7VHjwZIoLaGBA","37.6268239 140.9879456"
"G3ポロス横手南","秋田県 横手市 婦気大堤 字中田4-1　イオンスーパーセンター横手南店2F","UAd5pyvDfxhnXPh_qWqXEg","39.295224 140.552251"
"GALAXY GATE 星が浦","北海道 釧路市 星が浦大通 2-5","f2kS-8NrGq9Rg6INaR0ueA","43.014348 144.320148"
