shop,住所cd
こころっこ日立SC,茨城県日立市幸町イトーヨーカドー日立店５階プレビプレイランド,DBRD
こころっこ玉野,岡山県玉野市宇野天満屋ハピータウン玉野店 3階プレビプレイランド,DBRD
こころっこ町田根岸店,東京都町田市根岸アメリア町田根岸2Fこころっこ,DBRD
こころっこ白鷹店,山形県西置賜郡白鷹町荒砥乙５３５－１５３５－１マックスバリュ白鷹店内プレビプレイランド,RD
さんさんらんど大船渡,岩手県大船渡市盛町字町10-11　(協）南三陸ｓｃ1Ｆ,RD
そごう 横浜店 8階玩具売場,神奈川県横浜市西区高島2-18-1,DB
てくもぴあ阿知須店,山口県山口市阿知須4825-1サンパークあじす2F,DBRD
にこにこらんど杵築店,大分県杵築市杵築字北浜６６５－61８サンリブ杵築店内,DB
ひのや二枚橋店,静岡県御殿場市二枚橋275-2,DB
ふぁみりーらんどゆうゆう種子島店,鹿児島県西之表市西之表10440-1プラッセだいわ種子島店内ゲームコーナー,DB
ふぇすたらんど三ヶ森店,福岡県北九州市八幡西区三ケ森３－９－１サンリブ三ヶ森店２Ｆ,DB
ふぇすたらんど三木店,香川県木田郡三木町氷上482-2マルナカ三木店内,DBRD
ふぇすたらんど下原店,福岡県福岡市東区下原4丁目2-1ブランチ下原1F,DB
ふぇすたらんど下松店,山口県下松市南花岡6丁目8番1号サンリブ下松店2F,DBRD
ふぇすたらんど中島店,岡山県倉敷市中島２７８０-１　山陽マルナカ中島店１Ｆ,DBRD
ふぇすたらんど久留米店,福岡県久留米市野中町1411-1サンリブ久留米店２階,DBRD
ふぇすたらんど五日市店,広島県広島市佐伯区八幡1-24-17サンリブ五日市２階,DBRD
ふぇすたらんど今治店,愛媛県今治市馬越町4-8-1イオン今治店3F,DBRD
ふぇすたらんど倉敷店,岡山県倉敷市松島1154-2マルナカマスカット店別館３階,DBRDAB
ふぇすたらんど古賀店,福岡県古賀市天神２－５－１サンリブ古賀店２階,DBRD
ふぇすたらんど可部店,広島県広島市安佐北区可部７－４－１３マルナカ可部店２階,DBRD
ふぇすたらんど土山店,兵庫県明石市魚住町清水字舞々2208-1イオン土山店内,DB
ふぇすたらんど宇多津店,香川県綾歌郡宇多津町２４１９－１マルナカスーパーセンター宇多津店内,DB
ふぇすたらんど小野店,兵庫県小野市王子町868-1イオン小野店2F,DBRD
ふぇすたらんど平島店,岡山県岡山市東区東平島１６０９マルナカ平島店内,DBRD
ふぇすたらんど広店,広島県呉市広本町２－１７－１イオン広店４Ｆ,DBRD
ふぇすたらんど広畑店,兵庫県姫路市広畑区吾妻町３丁目２９－２マルナカ広畑店２階 ふぇすたらんど広畑店,DBRD
ふぇすたらんど府中店,広島県安芸郡府中町大須4－2－10サンリブ府中店3階ゲームコーナー,DB
ふぇすたらんど新居浜店,愛媛県新居浜市上泉町１２番１号　マルナカ新居浜店２Ｆ,DB
ふぇすたらんど東大阪店,大阪府東大阪市西岩田3丁目2番3号マルナカ東大阪店2階,DBRD
ふぇすたらんど栗林南店,香川県高松市西ハゼ町字清水１８マルナカ栗林南店２Ｆ,DB
ふぇすたらんど田川店,福岡県田川市川宮１６９３－１サンリブ田川店２階,DBRD
ふぇすたらんど築港店,岡山県岡山市南区築港元町14-1山陽マルナカ築港店　ゲームコーナー,DBRD
ふぇすたらんど脇町店,徳島県美馬市脇町字拝原1711番地1マルナカ脇町店2階,DBRD
ふぇすたらんど苅田店,福岡県京都郡苅田町殿川町１－７サンリブ苅田店内,DB
ふぇすたらんど菊陽店,熊本県菊池郡菊陽町津久礼２４７２カリーノ菊陽店２Ｆ,DBRD
ふぇすたらんど西加治木店,鹿児島県姶良市加治木町木田１５９番地２タイヨー西加治木店２Ｆ,DB
ふぇすたらんど豊浜店,香川県観音寺市豊浜町姫浜1158番1号マルナカ豊浜店,DB
ふぇすたらんど金剛店,大阪府大阪狭山市半田1丁目22そよら金剛　2F,DB
ふぇすたらんど隼人店,鹿児島県霧島市隼人町見次５４５サンキュー隼人店内,DB
ふぇすたらんど高屋店,岡山県岡山市中区高屋３６－１マルナカ高屋店２F,DBRD
ふぇすたらんど高須店,福岡県北九州市若松区高須南２－２－１サンリブ高須店　２Ｆ,DBRD
ゆうゆうパーク神辺,広島県福山市神辺町新湯野2-30-4ザ・ビッグ神辺店,DBRD
ゆめサーカス出雲店,島根県出雲市大塚町６５０－１ゆめタウン出雲店　シネマ棟３F,DBRD
ゆめシティ下関店ゆめパーク,山口県下関市伊倉新町3丁目1-1 ゆめシティ下関店ゆめパーク3階ゲームコーナー,DBRDAB
ゆめタウンサンピアンアミューズパーク,熊本県熊本市東区上南部二丁目２番２号　ゆめタウンサンピアン３Ｆ,DBRD
ゆめタウン下関ゲームコーナー,山口県下関市ゆめタウン1-1 ゆめタウン長府内,DBRD
ゆめタウン中津店,大分県中津市蛭子町３丁目９９番地　ゆめタウン中津店３階,DBRD
ゆめタウン八女店,福岡県八女市大字蒲原９８８－２８　ゆめタウン八女店2F,DBRD
ゆめタウン平島店,岡山県岡山市東区東平島１６３番地ゆめタウン平島店SC内2F,DBRD
ゆめタウン武雄店,佐賀県佐賀県武雄市武雄町武雄４９９２　ゆめタウン武雄２Ｆゆめキッズ,DBRD
ゆめタウン高松店,香川県高松市三条町中所６０８－１ゆめタウン高松店内2F ゆめランド,DBRD
ゆめパーク ゆめタウン斐川店,島根県出雲市斐川町上直江1301－1ゆめタウン斐川店内,DB
ゆめパーク姫路店,兵庫県姫路市神子岡前3丁目12‐17 4F,DBRD
ゆめランド邑久店,岡山県瀬戸内市邑久町尾張２６８イズミゆめタウン邑久２階,DB
わいわいランド吉川駅前店,埼玉県吉川市保1-13-3ライフ吉川駅前店３階,DBRD
アカフーアミューズメント ジアス上大岡店,神奈川県横浜市港南区上大岡西2-1-28赤い風船ビル１階,DBRDAB
アクション堅田,滋賀県大津市今堅田二丁目４０番１０号ACT堅田ビル２F,DBAB
アズパークファミリータウン,愛知県名古屋市中川区新家１丁目２４２１番地アズパークＳＣ２Ｆ,DBRD
アソビクル長崎戸町店,長崎県長崎市戸町4丁目9-3,DBRD
アップルグランリバー大井川店,静岡県焼津市下江留1327番地,DBAB
アップル島田,静岡県島田市宝来町8-5,DBRDAB
アップル新北街道店,静岡県静岡市葵区沓谷5丁目13番4号,DBRDAB
アテナ日本橋,大阪府大阪市浪速区難波中2-1-22,AB
アドアーズ アシコタウンあしかが,栃木県足利市大月町3-2　アシコタウンあしかが1階,DBRD
アドアーズ上野アメ横,東京都台東区上野4-9-14　上野KKビルB1-4F,AB
アドアーズ中野,東京都中野区中野5-52-15中野ブロードウェイ1F　185,AB
アドアーズ仙川,東京都調布市仙川町2-21-12VICビル7　1-3F,RDAB
アドアーズ和光,埼玉県和光市本町3-5MillionAnnex和光1-3F,AB
アドアーズ新小岩,東京都葛飾区新小岩1-44-4リバティビルB1-3F,DBAB
アドアーズ札幌北42条店,北海道札幌市東区北42条東7丁目1-1嶋ビル２階,RD
アドアーズ橋本店,神奈川県相模原市緑区橋本3-3-1SING橋本 2階,DBAB
アドアーズ池袋東口,東京都豊島区東池袋1-41-4池袋とうきゅうビル1・2F,AB
アドアーズ船橋店,千葉県船橋市本町1-31-26,AB
アドアーズ蕨,埼玉県蕨市塚越1-4-4ラ・セーヌビル2F,AB
アピタ一宮店　おもちゃ売場,愛知県一宮市両郷町一丁目6番地アピタ一宮店,DB
アピタ伊勢崎東店,愛知県伊勢崎市三室町5330,DB
アピタ伊賀上野店,三重県伊賀市服部町尾崎１７８８,DBRD
アピタ刈谷店　おもちゃ売場,愛知県刈谷市南桜町２丁目５６番１号アピタ刈谷店,DBRD
アピタ前橋店,群馬県前橋市文京町2-1-1,RD
アピタ北方店　玩具コーナー,岐阜県本巣郡北方町平成二丁目3番地アピタ北方店,DBRD
アピタ千代田橋店　おもちゃ売場,愛知県名古屋市千種区千代田橋二丁目１番１号アピタ千代田橋店,DBRD
アピタ双葉店,山梨県甲斐市志田字柿木645-1番地,DBRD
アピタ各務原店　玩具コーナー,岐阜県各務原市鵜沼各務原町八丁目7番地アピタ各務原店,DBRD
アピタ名古屋北店,愛知県名古屋市北区辻町９－１,DBRD
アピタ名古屋南店　おもちゃ売場,愛知県名古屋市南区豊田四丁目9番地47アピタ名古屋南店,DBRD
アピタ名古屋空港店,愛知県西春日井郡豊山町大字豊場字林先１番８,DBRD
アピタ名張店,三重県名張市下比奈知字黒田3100番地の1,DB
アピタ向山店,愛知県豊橋市向山町字中畑１番地１アピタ向山店,DBRD
アピタ四日市店,三重県四日市市安島１－３－３１,DBRD
アピタ大仁店　玩具コーナー,静岡県伊豆の国市吉田字九十分153番地1アピタ大仁店,DB
アピタ大和郡山店 おもちゃ売場,奈良県大和郡山市田中町宮西517アピタ大和郡山店,DBRD
アピタ大垣店　おもちゃ売場,岐阜県大垣市林町六丁目８０番２１アピタ大垣店,DBRD
アピタ大府店　玩具コーナー,愛知県大府市明成町四丁目133番地アピタ大府店,RD
アピタ宇都宮店,栃木県宇都宮市江曽島本町２２番７号,DBRD
アピタ安城南店　おもちゃ売場,愛知県安城市桜井町貝戸尻60番地アピタ安城南店,DBRD
アピタ富山店,富山県富山市上袋１００番地,DBRD
アピタ富山東店,富山県富山市上冨居３１０－１,DBRD
アピタ富山東店ゲームコーナー,富山県富山市上冨居アピタ富山東店２Ｆ,DBRD
アピタ岐阜店,岐阜県岐阜市加納神明町６－１,DBRD
アピタ岡崎北店,愛知県岡崎市日名北町4番地46,DBRD
アピタ岡谷店,長野県岡谷市銀座一丁目1番5号,DBRD
アピタ岩倉店,愛知県岩倉市旭町1-25,DBRD
アピタ島田店,静岡県島田市宝来町8番2号アピタ島田店,DBRD
アピタ御嵩店　玩具コーナー,岐阜県可児郡御嵩町上恵土1052番地1アピタ御嵩店,DBRD
アピタ戸塚店,神奈川県横浜市戸塚区上倉田町769-1,RD
アピタ新潟亀田店,新潟県新潟市江南区鵜ノ子4丁目466番地,DBRD
アピタ新潟西店,新潟県新潟市西区小新474番地,DBRD
アピタ木更津店,千葉県木更津市ほたる野4丁目2番48,DBRD
アピタ東松山店,埼玉県東松山市あずま町四丁目3番,DB
アピタ東海通店,愛知県名古屋市港区港明１丁目１０番２８号,DBRD
アピタ松任店,石川県白山市幸明町280番地アピタ松任店2階　玩具売場,DBRD
アピタ松任店ゲームコーナー,石川県白山市幸明町２８０番地アピタ松任店２Ｆ,DBRD
アピタ松阪三雲店　おもちゃ売場,三重県松阪市市場庄町１２６６番地の１アピタ松阪三雲店,DBRD
アピタ桑名店　おもちゃ売場,三重県桑名市中央町三丁目２１番地アピタ桑名店,DBRD
アピタ桶川店,埼玉県桶川市桶川都市計画事業下日出谷東特定土地区画整理事業地内4,DBRD
アピタ江南西店　おもちゃ売場,愛知県江南市松竹町上野205番地アピタ江南西店,DBRD
アピタ浜北店,静岡県浜松市浜北区貴布祢1200番地アピタ浜北店　玩具売場,DBRD
アピタ磐田店,静岡県磐田市見付3007番1号,DBRD
アピタ福井大和田店,福井県福井市大和田町第32号23番地アピタ　福井大和田店,DBRD
アピタ稲沢店,愛知県稲沢市天池五反田町１,DBRD
アピタ蒲郡店,愛知県蒲郡市港町１７番１０号アピタ蒲郡店,DBRD
アピタ西尾店,愛知県西尾市高畠町三丁目23-9,DBRD
アピタ豊田元町店,愛知県豊田市土橋町２－６５,DBRD
アピタ足利店,栃木県足利市朝倉町245番地,DBRD
アピタ金沢文庫店,神奈川県横浜市金沢区釜利谷東２－１－１,DBRD
アピタ鈴鹿店　おもちゃ売場,三重県鈴鹿市南玉垣町３６２８アピタ鈴鹿店,DB
アピタ長久手店,愛知県愛知郡長久手町戸田谷９０１番地１アピタ長久手店,DBRD
アピタ長岡店,新潟県長岡市千秋２－２７８,DBRD
アピタ長津田店,神奈川県横浜市緑区長津田みなみ台4-7-1,DBRD
アピタ阿久比店　おもちゃ売場,愛知県知多郡阿久比町大字椋岡字徳吉1番地12アピタ阿久比店,DBRD
アピタ静岡店,静岡県静岡市駿河区石田1丁目5番地1アピタ静岡店,DBRD
アピタ飯田店ゲームコーナー,長野県飯田市鼎名古熊２４６１　アピタ飯田店2F,DBRD
アピタ高崎店,群馬県高崎市矢中町字渕ノ内６６８－１,DBRD
アピタ鳴海店,愛知県名古屋市緑区鳴海町伝治山3-9,RD
アピナキッズパーク大津京,滋賀県大津市二本松１番１号　ＢＲＡＮＣＨ大津京Ａ棟,DBRD
アピナ上尾店,埼玉県上尾市緑丘3‐3‐11‐2Ｐ・Ａ・Ｐ・Ａ上尾ショッピングアベニュープリンセス棟別棟,DBRDAB
アピナ上田店,長野県上田市秋和359-1,DBRDAB
アピナ上越インター店,新潟県上越市下門前1661,DBRDAB
アピナ上里,埼玉県児玉郡上里町大字七本木2272-1 ウニクス上里2階,DBRD
アピナ下館店,茨城県筑西市玉戸1012,DBRDAB
アピナ伊那店,長野県伊那市西町5093,DBRDAB
アピナ佐久インター店,長野県佐久市岩村田北1-13-1,DBRDAB
アピナ八王子みなみ野店,東京都八王子市みなみ野１－２－１　アクロスモール３Ｆ,DBRDAB
アピナ印西店,千葉県印西市原１－２　ビッグホップガーデンモール印西２Ｆ,DBRDAB
アピナ各務原店,岐阜県各務原市蘇原花園町2丁目9番地１,DBRDAB
アピナ吉岡,群馬県北群馬郡吉岡町大久保３６４－１ジョイホンパーク吉岡２階,DBRD
アピナ吉川美南店,埼玉県吉川市美南３丁目２５番地１イオンタウン吉川美南内２Ｆ,DBRD
アピナ塩尻店,長野県塩尻市広丘野村1794-1,DBRDAB
アピナ大須賀店,静岡県掛川市西大渕3359,DBRDAB
アピナ太田店,群馬県太田市内ケ島町907-1,DBRDAB
アピナ姫路店,兵庫県姫路市東郷町1454-3 姫路リオス2階,DBRDAB
アピナ宇都宮店,栃木県河内郡上三川町磯岡421-1 ジョイフル本田宇都宮店2階,DBRD
アピナ富山南店,富山県富山市堀川町355-3マイプラザ内,DBRDAB
アピナ富山新庄店,富山県富山市荒川3-2-12,DBRDAB
アピナ富山豊田店,富山県富山市豊田町２丁目１２－６６,DBRD
アピナ富谷店,宮城県富谷市大清水１丁目３３－１イオンモール富谷別棟１０９シネマズ富谷１階,DBRDAB
アピナ小山店,栃木県小山市駅南町4-27-18,DBRDAB
アピナ山下公園店,神奈川県横浜市中区新山下1-2-8ナナイロビル2F,DBRD
アピナ市原店,千葉県市原市更級4-2-1アクロスプラザ市原更級,DBRD
アピナ徳山店,山口県周南市青山町１－１８ゆめタウン徳山２階,DBRD
アピナ成増,東京都東京都板橋区成増 二丁目21 番 2 号 MEGA ドン・キホーテ成増店 5 階,DBRD
アピナ新利府北館店,宮城県宮城郡利府町利府利府字新屋田前２２イオンモール新利府北館２Ｆ,DBRD
アピナ本巣店,岐阜県本巣市政田字下西浦１９８６　イオンタウン本巣内,DBRDAB
アピナ東広島店,広島県東広島市西条町助実１２２９ゆめモール西条１階,DBRD
アピナ松本店,長野県松本市双葉１９-１０アピナ松本店,DBRDAB
アピナ橋本店,神奈川県相模原市緑区西橋本5-1-1ラ・フロール駐車場棟1階,DBRDAB
アピナ焼津店,静岡県焼津市道原585番地,DBRDAB
アピナ磐田店,静岡県磐田市西貝塚横須賀道北3690イオンタウン磐田内,DBRDAB
アピナ米子,鳥取県米子市米原2-1320-1 MEGAドン・キホーテ米子店3階,DBRD
アピナ荻窪店,東京都杉並区上荻1-13-10　ハクサンビル,DBRDAB
アピナ蒲郡店,愛知県蒲郡市鹿島町浅井新田１－２６　クラスポ蒲郡２階,DB
アピナ豊橋店,愛知県豊橋市藤沢町１４１ホリデイ・スクエアアミューズメント棟１階,DBRDAB
アピナ野々市店,石川県野々市市白山町4-1　イオンタウン野々市内,DBRDAB
アピナ野田七光台店,千葉県野田市七光台4-2,DBRDAB
アピナ鈴鹿店,三重県鈴鹿市庄野羽山4-20-1　イオンタウン鈴鹿２階,DBRDAB
アピナ長岡店,新潟県長岡市堺東町22,DBRDAB
アピナ長野大橋店,長野県長野市若里7-9-12,DBRDAB
アピナ長野川中島店,長野県長野市川中島町御厨957-1,DBRDAB
アピナ長野村山店,長野県長野市村山502-1,DBRDAB
アピナ飯田店,長野県飯田市座光寺3728-1,DBRDAB
アピナ鶴岡店,山形県鶴岡市文下字広野１－１,DBRDAB
アミパラがいな,鳥取県米子市日ノ出町1-8-13,AB
アミパラここじゃ店,広島県東広島市西条町下見6-10-19,AB
アミパラテクノランド店,岡山県岡山市北区大和町1-7-12,AB
アミパラフォレオ広島東店,広島県広島市東区温品1-3-2フォレオ広島東1F,DB
アミパラ下関店,山口県下関市長府才川1-42-48,DBRDAB
アミパラ丸亀店,香川県丸亀市飯野町西分川緑甲５８４－１ハローズ棟内,DBAB
アミパラ久御山店,京都府久世郡久御山町森大内337イオンタウン久御山内,DBAB
アミパラ伊川谷店,兵庫県神戸市西区池上3丁目2番3号,DBAB
アミパラ佐世保店,長崎県佐世保市大塔町１８－１５,DBRDAB
アミパラ倉敷店,岡山県倉敷市西中新田624-1アミパラボウル１階,DBRDAB
アミパラ光明池店,大阪府和泉市室堂町824-36　コムボックス光明池2階,DBRDAB
アミパラ加古川店,兵庫県加古川市尾上町今福71-2,DBRDAB
アミパラ周南久米店,山口県周南市久米2834,DBRDAB
アミパラ垂水店,兵庫県垂水区名谷町字室山1400-18,DBAB
アミパラ大東店,大阪府大東市南新田2-3-5,DBRDAB
アミパラ岡山店,岡山県岡山市北区青江1-13-8,DBRDAB
アミパラ広島店,広島県広島市西区西観音町3-17,DBAB
アミパラ松山店,愛媛県松山市生石町６５５－１,DBAB
アミパラ松江店,島根県松江市東朝日町203-1,DBAB
アミパラ松江店,島根県松江市東朝日町203-1,DB
アミパラ津山店,岡山県津山市河辺1000-1イオンモール津山2F,DBAB
アミパラ神辺店,広島県福山市神辺町新道上字1-2-1,RDAB
アミパラ草津店,滋賀県滋賀県草津市木川町72,DBRDAB
アミパラ鈴鹿店,三重県鈴鹿市西條町字東澤430-1,DBAB
アミパラ高松店,香川県香川県高松市伏石町2168-2,DBRDAB
アミパラ高知店,高知県南国市篠原194-1,DBAB
アミパラ鳥取店,鳥取県鳥取市晩稲348イオンモール鳥取北２F,RD
アミュージアムOSC店,東京都練馬区東大泉2-34-1オズ・スタジオ・シティ2F,DBRDAB
アミュージアムモリタウン昭島店,東京都昭島市田中町562番地1モリタウン東館２階,DBRD
アミュージアム南アルプス,山梨県南アルプス市小笠原1423-1スーパーセンタートライアル南アルプス店1F,DBRD
アミュージアム南風原店,沖縄県島尻郡南風原町字宮城371-1サザンプレックス内,DBRD
アミュージアム周南店,山口県下松市中央町２１-３THE　MALL周南３F,DBRDAB
アミュージアム大泉,東京都練馬区東大泉2-10-11リヴィンOZ大泉　5F,DB
アミュージアム小松店,石川県小松市園町ハ23-1アル・プラザ小松2F,DBRD
アミュージアム岸和田店,大阪府岸和田市下松町1-3-1 ウィンディ岸和田内,DBRD
アミュージアム川口店,埼玉県川口市本町2-7-25,DBRD
アミュージアム所沢店,埼玉県所沢市小手指台23-1,DBRD
アミュージアム木津川店,京都府木津川市州見台1-1-1-1,DBRD
アミュージアム枚方店,大阪府枚方市岡本町7-1　枚方ビオルネ3F,DBRD
アミュージアム河口湖店,山梨県南都留郡富士河口湖町船津2986河口湖SCベル3F,DBRD
アミュージアム津幡,石川県河北郡津幡町北中条1-1アル・プラザ津幡2F,DBRD
アミュージアム清水店,静岡県静岡市清水区入船町13番地15号エスパルスドリームプラザ3F,RD
アミュージアム稲毛店,千葉県千葉市稲毛区小仲台1-4-20イオン稲毛店2F,DBRD
アミュージアム茂原店,千葉県茂原市高師1619-1,DBRDAB
アミュージアム豊洲店,東京都江東区豊洲2丁目4番地9号アーバンドックららぽーと豊洲　３階,DBRD
アミュージアム高松,香川県高松市伏石町2144-9,DBRDAB
アミュージアム高知店,高知県高知市介良乙317-1パワーセンター高知内,DBRDAB
アミューズアイランド金沢店,石川県金沢市福久2-58イオン金沢3階,DBRD
アミューズビバ,茨城県ひたちなか市東大島2-11-11勝田ミナミボウル内,AB
アミューズファクトリーAXE,大阪府大阪市中央区難波1-1-3,AB
アミューズファクトリー常滑店,愛知県常滑市りんくう町2丁目20番3イオンモール常滑店2階,DBRDAB
アミューズメント&ゲーム マグレブ,東京都多摩市落合1丁目41番地1号マグレブウエスト１・２F,DBRDAB
アミューズメントCUE奈良三条,奈良県奈良市三条町478-1,AB
アミューズメントCUE奈良大和高田店,奈良県奈良県大和高田市東中2-11-16,DBAB
アミューズメントPLABI ジョイフル本田千葉ニュータウン店,千葉県印西市牧の原2-1　ジョイフル本田千葉ニュータウン店２階,RD
アミューズメントカフェプレビアメリア稲城,東京都稲城市矢野口2284-1アメリア稲城ショッピングセンター2F,DBRD
アミューズメントジョイパーク,京都府相楽郡精華町精華台9-2-4アピタタウンけいはんな西館2階,DB
アミューズメントスペース カプセル,東京都多摩市永山１丁目３番地４号ヒューマックスパビリオン永山Ｂ１Ｆ,DBAB
アミューズメントゾーン北上店,岩手県北上市本通り２丁目２－１　さくら野北上４階,DBRD
アミューズメントパフェパレパレ田宮,徳島県徳島市南田宮２－２－４６,DBRDAB
アミューズメントパフェパレパレ稲毛長沼店,千葉県千葉市稲毛区長沼原町737-25フレスポ稲毛A棟-4,DBRDAB
アミューズメントパークMG 須崎神田店,高知県須崎市神田2500-1マルナカ須崎店内,DBAB
アミューズメントパークMGキスケ店,愛媛県松山市宮田町４キスケBOX１F,AB
アミューズメントパークMGジアス店,広島県福山市柳津町1丁目7-60,DBAB
アミューズメントパークMG四万十店,高知県四万十市具同211マルナカ四万十店内,DB
アミューズメントパークMG徳島店,徳島県徳島市西新浜町１－４５マルナカ徳島店２階,DBRD
アミューズメントパークMG朝生田店,愛媛県松山市朝生田町4丁目4-32第1自動車教習所ビル1階,DBRDAB
アミューズメントパークMG東予店,愛媛県西条市周布715-1フジ東予店　別棟,DBAB
アミューズメントパークMG総社店,岡山県総社市門田187天満屋ハピータウンリブ総社店内3階,DBRD
アミューズメントパークMG西条店,愛媛県西条市新田字北新田235フジグラン西条別棟,DB
アミューズメントパークさくら八日市店,滋賀県東近江市八日市浜野町3-13-1ショッピングプラザアピア4F,RD
アミューズメントパークアルコ,岩手県紫波郡矢巾町南矢幅7-425-3ショッピングモールアルコ内,DBRD
アミューズメントパークイオンモール奈良登美ヶ丘店,奈良県生駒市鹿畑町3027番地イオンモール奈良登美ヶ丘店3階,DBRD
アミューズメントパークドリームランド那珂,茨城県那珂市菅谷16-18-2サンモリノ那珂内,DBRD
アミューズメントプラザマルシン,愛知県刈谷市池田町4-609,AB
アミューズメントプラザワイド,愛知県東海市名和町二番割上16-2,AB
アミューズメントランド　イオン室蘭店,北海道室蘭市東町2丁目4-32イオン室蘭店2F,DBRD
アミューズメントワールドららぽーと沼津店,静岡県沼津市東椎路字東荒301番地 ららぽーと沼津3F,DBRD
アミューズメントワールドメトロポリス小牧店,愛知県小牧市村中新町33番地,DBRDAB
アミューズメントワールドメトロポリス小田原店,神奈川県小田原市前川219-4,DBRDAB
アミューズランドモナコ調布駅前,東京都調布市布田4-2-22,AB
アメリカンパラダイス,岩手県北上市北鬼柳32地割44アメリカンワールド,DBRD
アルゴ,兵庫県神戸市中央区下山手通1-1-8M:2nd,DBRDAB
アル・プラザ小杉店,富山県射水市三ヶ2602　アル・プラザ小杉2階　玩具売り場,DB
アル・プラザ枚方店,大阪府枚方市津田元町1-4-1アルプラザ枚方店3階　玩文具売り場,DB
イオンスタイル碑文谷店,東京都目黒区碑文谷4-1-1,DBRD
イオンスーパーセンター五城目店,秋田県南秋田郡五城目町大川西野字田屋前138,DB
イオンスーパーセンター佐沼店,宮城県登米市南方町新島前46番地1,DBRD
イオンスーパーセンター南相馬店,福島県南相馬市原町区大木戸字金場７７,DBRD
イオンスーパーセンター本荘店,秋田県由利本荘市石脇字田中138番地,DB
イオンスーパーセンター水沢桜屋敷店,岩手県奥州市水沢区字桜屋敷西28-10,DB
イオンスーパーセンター湯沢店,秋田県湯沢市字上荻生田162,DB
イオンスーパーセンター金ヶ崎店,岩手県胆沢郡金ケ崎町三ケ尻新巻165,DB
イオンタウンユーカリが丘ゲームコーナー,千葉県佐倉市西ユーカリが丘６丁目１２番地の３イオンタウンユーカリが丘3F,DBRD
イオン三条店,新潟県三条市西裏館２－１２－２０,DBRD
イオン仙台幸町店,宮城県仙台市宮城野区幸町5-10-1,DBRD
イオン仙台店,宮城県仙台市青葉区中央2-3-6,DBRD
イオン伊達店,北海道伊達市末永町8-1,DBRD
イオン佐久平店,長野県佐久市佐久平駅南１１－１０,RD
イオン加古川店,兵庫県加古川市平岡町新在家615-1,RD
イオン北見店,北海道北見市北進町1丁目1番1号,DBRD
イオン千歳店,北海道千歳市栄町６丁目５１番地,DBRD
イオン千歳店内キッズパーク,北海道千歳市栄町６－６１,DBRDAB
イオン南越谷店,埼玉県越谷市南越谷1-2876-1,DB
イオン南陽店,愛知県名古屋市港区春田野1-330,DB
イオン土崎港店,秋田県秋田市土崎港南2-3-41,DBRD
イオン大宮西店,埼玉県さいたま市西区三橋6-607-13,DBRD
イオン大月店,山梨県大月市御太刀1-13-29,DBRD
イオン大田店,島根県大田市長久町土江97,DBRD
イオン小松店,石川県小松市平面町ア69,DBRD
イオン小樽店,北海道小樽市築港11-6,DBRD
イオン岩見沢店,北海道岩見沢市大和4条8-1,DBRD
イオン帯広キッズ・パーク,北海道帯広市西四条南２０丁目,DBRD
イオン帯広店,北海道帯広市西4条南20丁目1番地,DBRD
イオン常陸大宮店,茨城県常陸大宮市下村田２３８７,DBRD
イオン広店,広島県呉市広本町２－１７－１,DBRD
イオン戸畑ショッピングセンター,福岡県九州市戸畑区汐井町2番2号,DBRD
イオン新浦安店,千葉県浦安市入船1-4-1,DBRD
イオン新潟西店,新潟県新潟市西区小新南２－１－１０,DBRD
イオン新百合ヶ丘ファミリーパーク,神奈川県川崎市麻生区上麻生１－１９　イオン新百合ヶ丘店４Ｆ,DBRD
イオン新百合ヶ丘店,神奈川県川崎市麻生区上麻生1-19,DBRD
イオン新茨木店,大阪府茨木市中津町１８－１,DBRD
イオン春日井店 3Fキッズインタイトー,愛知県春日井市柏井町4丁目17番地イオン春日井店３Fゲームコーナー,DBRD
イオン札幌藻岩店,北海道札幌市南区川沿2条2丁目1番1号,DBRD
イオン村上東店,新潟県村上市仲間町２００,DBRD
イオン松任店,石川県白山市平松町102-1,DBRD
イオン栃木店,栃木県栃木市箱森町37番9号イオン2F,RD
イオン江釣子店,岩手県北上市北鬼柳１９－６８,DBRD
イオン海老名店,神奈川県海老名市中央2-4-1,DBRD
イオン白根店,新潟県新潟市南区能登４０９－２,DBRD
イオン相模原店ゲームコーナー,神奈川県相模原市南区古淵２丁目１０番１ イオン相模原ショッピングセンター3F,DBRD
イオン福岡東店,福岡県糟屋郡志免町別府北2-14-1,DBRD
イオン穂波ショッピングセンター,福岡県飯塚市枝国長浦666-48,DBRD
イオン笠間店,茨城県笠間市赤坂８,RD
イオン箕輪店,長野県上伊那郡箕輪町中箕輪９０２５,DBRD
イオン練馬店,東京都練馬区光が丘5-1-1,DBRD
イオン赤穂店,兵庫県赤穂市中広別所５５－３,DB
イオン野々市南店,石川県野々市市上林４－７４７,DB
イオン金沢店,石川県金沢市福久町６街区１８番,DBRD
イオン長岡店,新潟県長岡市古正寺1丁目249-1,DBRD
イオン青森店,青森県青森市緑3-9-2,DB
イオン静内店,北海道日高郡新ひだか町静内末広町２－２－１,DBRD
イオン須坂店,長野県須坂市馬場町１２８８,DBRD
イオン高城店,大分県大分市高城西町28-1,RD
イオン高根木戸店,千葉県船橋市習志野台1-1-3,DBRD
イオン高橋店,愛知県豊田市東山町1-950-1,DBRD
イオン鴨川店,千葉県鴨川市横渚973-1,DBRD
