shop,住所cd
GAME Q,山梨県富士吉田市上吉田２－５－１富士山駅ビル　QSTA４階,DBRD
GAME SQUARE茂原,千葉県茂原市六ツ野八貫野 2785-1ライフガーデン茂原内,DBRD
GAMEBANK仙台泉,宮城県仙台市泉区大沢2－5－4,DBRDAB
GAME＆GO！KISARAZU,千葉県木更津市太田2-5-1精文館書店内ゲームコーナー,DB
GiGO MEGA ドン・キホーテ勝田,茨城県ひたちなか市石川町1-1MEGAドン・キホーテ勝田店2F,DBRD
GiGO MEGAドン・キホーテ四街道店,千葉県四街道市めいわ2-1-1MEGAドン・キホーテ四街道店2F,DBRD
GiGO MEGAドン・キホーテ桐生,群馬県桐生市永楽町5-10MEGAドン・キホーテ桐生店3F,DBRD
GiGO MOMOテラス京都伏見,京都府京都市伏見区桃山町山ノ下32京都ショッピングセンタービルAM棟2F,DBRDAB
GiGO mozoワンダーシティ,愛知県名古屋市西区二方町47番地mozoワンダーシティ シネマ棟2F,DB
GiGO サントムーン柿田川,静岡県駿東郡清水町玉川61-2 サントムーン柿田川2F,AB
GiGO センター南,神奈川県神奈川県横浜市都筑区茅ケ崎中央3-25 ａｕｎｅ港北ビル,DBAB
GiGO 仙台,宮城県仙台市青葉区中央2-5-5 三経60ビル,DBAB
GiGO 千葉,千葉県千葉市中央区富士見2-4-1富士ビル,AB
GiGO 川口,埼玉県川口市東領家2丁目2番地10号南平グランドボウル１階,DBAB
GiGO 広島本通,広島県広島市中区本通9-30,AB
GiGO 新宿西口,東京都新宿区西新宿1-12-5,DBAB
GiGO 柏,千葉県柏市柏1-1-11　丸井デパート内B1F,AB
GiGO 立川,東京都立川市柴崎町3-2-1　サザンビル1F・2F,DBRDAB
GiGO 自由が丘,東京都目黒区自由が丘2-10-9,DBRDAB
GiGO 難波アビオン,大阪府大阪市浪速区難波中2-3-15 　MMOビル1F・2F,AB
GiGOLECT広島,広島県広島市西区扇2丁目1-45　LECT　2F,DBRD
GiGOMEGAドン・キホーテ三郷,埼玉県三郷市さつき平1-1-1　MEGAドン・キホーテ三郷店2F,DB
GiGOあべのアポロ 3F,大阪府大阪市阿倍野区阿倍野筋1-5-31　アポロビル３F,DBRDAB
GiGOあべのキューズモール,大阪府大阪市阿倍野区阿倍野筋1-6-1 あべのマーケットパーク キューズモール3F　Q332,DB
GiGOあまがさきキューズモール,兵庫県尼崎市潮江1-3-1　あまがさきキューズモール4F,DBRD
GiGOかみしんプラザ,大阪府大阪市東淀川区大隅1-6-12　2階,DBRD
GiGOちとせモール,北海道千歳市勇舞8丁目1番地1ちとせモール2F,DBRD
GiGOつかしん,兵庫県尼崎市塚口本町4-8-1　つかしん内,DBRDAB
GiGOひたちなか,茨城県ひたちなか市田中後40-2田中後40-2,DBAB
GiGOみらい長崎ココウォーク,長崎県長崎市茂里町1番55号　みらい長崎ココウォーク5F,DBRD
GiGOららぽーと富士見,埼玉県富士見市山室１－１３１３　ららぽーと富士見３階３５２０区画,DBRD
