店名,場所
ディノスパーク帯広稲田店,北海道帯広市稲田町南８線西１２－１ｽｽﾞﾗﾝﾎﾞｳﾙ内
ディノスパーク札幌中央,北海道札幌市中央区南三条西１－８スガイビル
ディノスパーク札幌手稲,北海道札幌市手稲区前田一条１１
ディノスパーク室蘭,北海道室蘭市東町４－３１－２
ディノスパーク旭川,北海道旭川市大雪通５－４９６－５
ディノスパーク苫小牧,北海道苫小牧市柳町３－１－２０イオン苫小牧ＳＣ　２Ｆ
ディノスパークノルベサ,北海道札幌市中央区南三条西５－１－１ノルベサ５－６Ｆ
ディノスパーク北見店,北海道北見市西三輪５－１－１６
ディノスパーク音更,北海道河東郡音更町木野大通西15-2-12　ビックマートB棟
アドアーズ狸小路,北海道札幌市中央区南三条西４－１２－１アルシュビル５・６Ｆ
ＢＩＧＢＡＮＧ北見店,北海道北見市中央三輪7丁目４４６－１
ＢＩＧＢＡＮＧ函館,北海道函館市梁川町9-3テキサスビル3F
ＢＩＧＢＡＮＧ室蘭店,北海道室蘭市中島本町２－８－１
ＢＩＧ　ＢＡＮＧ釧路店,北海道釧路郡釧路町木場２－１
ソユーゲームフィールド旭川駅前店,北海道旭川市宮下通７－２－５ｲｵﾝﾓｰﾙ旭川駅前４F
タイトーステーション札幌狸小路2店,北海道札幌市中央区南3条西2丁目ニコービル
キャッツアイ新札幌店,北海道札幌市厚別区厚別東五条1-1-10
キャッツアイ清田店,北海道札幌市清田区清田１－１－２０－１
キャッツアイ新川店,北海道札幌市北区新川二条7丁目1-7
キャッツアイ手稲店,北海道札幌市手稲区前田三条１０－２－２１モスバーガー
キャッツアイ篠路店,北海道札幌市北区篠路1条4丁目6-30
ラウンドワン函館店,北海道函館市西桔梗町８４８－１１
ラウンドワン旭川店,北海道旭川市永山三条１－４－７
ラウンドワン札幌北２１条店,北海道札幌市東区北二十一条東１－１－２１
ラウンドワン札幌白石本通店,北海道札幌市白石区本通北１６丁目北１－５０
ラウンドワン札幌すすきの店,北海道札幌市中央区南五条西3-6-1
青森ソユーアミューズメントクラブアラモード,青森県弘前市高崎2-15-1さくら野弘前店ラフォルテ2F
ゲームフェスタミタマ店,青森県弘前市駅前町5-5
セガワールド八戸Ｒ４５,青森県八戸市城下４－２５－１４
セガ弘前,青森県弘前市末広１－３－３
ラウンドワン青森店,青森県青森市浜田３－１－１
岩手ＢＩＮＧＯ一関,岩手県一関市山目字中野９２－１
セガワールド水沢,岩手県奥州市水沢区佐倉河字鎧田４－１
ラウンドワン盛岡店,岩手県盛岡市盛岡駅西通２－１０－３５
秋田セガワールド秋田,秋田県秋田市茨島1-1-16
ラウンドワン秋田店,秋田県秋田市卸町１－１－２
宮城ビーカム松森店,宮城県仙台市泉区松森字斎兵衛５８－１
ＧＡＭＥＢＡＮＫ泉店,宮城県仙台市泉区大沢２－５－４
THE 3RD PLANET BiVi仙台店,宮城県仙台市宮城野区榴岡2-1-25
タイトーステーション仙台名掛丁店,宮城県仙台市青葉区中央１－７－１３
タイトーステーション仙台クリスロード店,宮城県仙台市青葉区中央２－３－２５
スーパーノバ仙台利府,宮城県宮城郡利府町加瀬字新前谷地５５－１
ゲームコーナー東部,宮城県仙台市若林区六丁の目中町26-60 斎喜東部ビル2F
仙台レジャーランド一番町店,宮城県仙台市青葉区一番町4-3-27ｶﾞﾘﾚｱ一番町ﾋﾞﾙ1Ｆ-3Ｆ
